Round,Subset 1,Subset 2,Subset 3,Subset 4,Subset 5,Subset 6,Subset 7,Subset 8,Subset 9,Subset 10,Pruned-global Aggregated,Whole Aggregated
52,0.6494,0.6443,0.6714,0.6608,0.6719,0.632,0.6321,0.63,0.6202,0.6342,0.6634,0.6627
53,0.6582,0.6597,0.6767,0.672,0.6775,0.6364,0.632,0.6433,0.6411,0.6357,0.6712,0.6712
54,0.6642,0.6405,0.6656,0.6574,0.6825,0.6187,0.6356,0.6368,0.6407,0.628,0.6741,0.6755
55,0.6551,0.6452,0.6768,0.6807,0.6687,0.6366,0.6205,0.628,0.6197,0.6268,0.6664,0.6707
56,0.6447,0.6486,0.6674,0.6671,0.6795,0.6398,0.6361,0.6429,0.6432,0.6096,0.6699,0.669
57,0.6431,0.6543,0.6836,0.6809,0.6686,0.626,0.6239,0.6291,0.634,0.6346,0.6682,0.6685
58,0.6587,0.6359,0.6758,0.6709,0.6771,0.6281,0.6334,0.6175,0.6167,0.6156,0.6669,0.6678
59,0.641,0.6423,0.6705,0.6806,0.6701,0.6253,0.6323,0.6256,0.6317,0.6392,0.6667,0.6662
60,0.6556,0.6523,0.6675,0.6796,0.6766,0.6265,0.6248,0.6405,0.6238,0.626,0.6688,0.6703
61,0.6505,0.6399,0.6624,0.6727,0.6657,0.6231,0.632,0.6297,0.6256,0.6334,0.6637,0.6638
62,0.6472,0.656,0.6702,0.6777,0.6707,0.6212,0.6316,0.6329,0.642,0.6351,0.6676,0.666
63,0.6291,0.6488,0.6729,0.6674,0.6729,0.6261,0.6338,0.6328,0.6434,0.6261,0.6602,0.6619
64,0.6492,0.6313,0.6683,0.6704,0.6725,0.6336,0.6232,0.6299,0.6298,0.6348,0.6586,0.6616
65,0.651,0.6482,0.6737,0.6719,0.6711,0.6316,0.6367,0.6301,0.6286,0.6341,0.6613,0.6621
66,0.6467,0.6482,0.6616,0.6725,0.6652,0.6222,0.6202,0.628,0.6211,0.635,0.6678,0.6694
67,0.6462,0.6522,0.675,0.6637,0.6795,0.6292,0.626,0.6207,0.6248,0.6242,0.6685,0.6679
68,0.6434,0.6574,0.6708,0.6743,0.665,0.632,0.6177,0.6332,0.6352,0.6283,0.6707,0.6718
69,0.6455,0.6517,0.6814,0.6739,0.6763,0.6294,0.6333,0.6259,0.6268,0.6348,0.6643,0.6647
70,0.6426,0.6355,0.6757,0.6669,0.675,0.6239,0.6339,0.6273,0.6174,0.6303,0.6608,0.6644
71,0.6488,0.6504,0.6704,0.6648,0.6748,0.6288,0.6327,0.6239,0.6274,0.6325,0.6643,0.6666
72,0.6463,0.6501,0.6594,0.6597,0.6766,0.6258,0.6387,0.6292,0.6359,0.6283,0.6646,0.666
73,0.6396,0.635,0.6721,0.6694,0.6765,0.6258,0.6219,0.6285,0.6311,0.627,0.6609,0.6624
74,0.637,0.6438,0.6648,0.6606,0.6586,0.6254,0.6288,0.6242,0.6266,0.6218,0.6664,0.6658
75,0.6354,0.6522,0.6756,0.6605,0.6728,0.6207,0.6313,0.6336,0.6329,0.6233,0.663,0.6643
76,0.6406,0.6504,0.6695,0.6502,0.6683,0.62,0.6234,0.6302,0.6271,0.6222,0.6635,0.6628
77,0.6549,0.645,0.6784,0.6728,0.6768,0.6278,0.6334,0.6157,0.6289,0.6227,0.6717,0.672
78,0.6434,0.6212,0.6759,0.6638,0.6627,0.6293,0.6235,0.6265,0.6365,0.6252,0.6589,0.6593
79,0.6306,0.6588,0.6641,0.6746,0.6822,0.6268,0.6206,0.6273,0.6259,0.6232,0.6677,0.6664
80,0.6383,0.6386,0.6643,0.665,0.6635,0.6341,0.6252,0.6229,0.6334,0.6261,0.6579,0.6592
81,0.6466,0.6386,0.6763,0.6696,0.6737,0.6281,0.6268,0.6215,0.6382,0.6241,0.6635,0.6646
82,0.6481,0.6368,0.6749,0.6692,0.6643,0.6289,0.6275,0.6279,0.6313,0.6288,0.666,0.6666
83,0.6391,0.6497,0.6687,0.6728,0.6726,0.6329,0.6272,0.6322,0.6309,0.623,0.6669,0.6675
84,0.6432,0.6566,0.6719,0.6711,0.673,0.617,0.6277,0.6197,0.6297,0.628,0.6675,0.666
85,0.6412,0.6542,0.6537,0.6626,0.6726,0.6298,0.6134,0.6345,0.6239,0.6253,0.6618,0.6625
86,0.6515,0.6474,0.676,0.6724,0.6763,0.633,0.6256,0.6282,0.6305,0.6167,0.6663,0.6677
87,0.6392,0.6505,0.6662,0.6687,0.6636,0.6245,0.6259,0.6219,0.6333,0.6326,0.6679,0.6666
88,0.6411,0.6357,0.6704,0.6725,0.6584,0.6135,0.623,0.6318,0.6253,0.6222,0.6712,0.6685
89,0.6515,0.6432,0.6672,0.6593,0.6713,0.6224,0.6242,0.6322,0.6267,0.6196,0.6662,0.6673
90,0.6532,0.6503,0.6673,0.6581,0.6719,0.6266,0.618,0.6323,0.6272,0.633,0.67,0.6688
91,0.6496,0.6422,0.6676,0.6695,0.6743,0.6225,0.6209,0.6194,0.6315,0.6241,0.6692,0.6679
92,0.6416,0.6489,0.6574,0.6537,0.6695,0.6159,0.6256,0.6284,0.6258,0.622,0.6659,0.6659
93,0.6421,0.6336,0.6716,0.6765,0.6612,0.6247,0.6162,0.6321,0.6302,0.6261,0.6609,0.6609
94,0.648,0.6399,0.6736,0.662,0.6589,0.6083,0.6286,0.6175,0.6262,0.6246,0.6653,0.6657
95,0.6494,0.6415,0.6714,0.6651,0.6658,0.6296,0.6239,0.6314,0.6247,0.6262,0.6677,0.6678
96,0.6428,0.6492,0.681,0.6646,0.6746,0.6207,0.6258,0.6222,0.6282,0.6221,0.6651,0.6644
97,0.6472,0.6381,0.6679,0.6652,0.6552,0.6245,0.629,0.6261,0.6271,0.6173,0.6618,0.6627
98,0.6368,0.6358,0.6748,0.6766,0.6617,0.6206,0.623,0.6129,0.6168,0.6303,0.661,0.6589
99,0.6448,0.6478,0.6587,0.6633,0.6688,0.6162,0.624,0.626,0.6315,0.6294,0.6609,0.6634
100,0.6344,0.656,0.6722,0.6699,0.6795,0.621,0.6247,0.6239,0.6177,0.6285,0.6689,0.6671
