Round,Subset 1,Subset 2,Subset 3,Subset 4,Subset 5,Subset 6,Subset 7,Subset 8,Subset 9,Subset 10,Pruned-global Aggregated,Whole Aggregated
52,0.4781,0.5066,0.4532,0.4671,0.4697,0.4346,0.4477,0.4621,0.4227,0.4676,0.553,0.5554
53,0.4846,0.4884,0.4423,0.4406,0.4834,0.4187,0.4321,0.4394,0.4506,0.4547,0.5456,0.5463
54,0.4384,0.4988,0.4157,0.4714,0.4591,0.4103,0.4857,0.4433,0.4636,0.4441,0.5376,0.5393
55,0.4578,0.5004,0.437,0.467,0.4859,0.4399,0.4204,0.4782,0.4518,0.4227,0.554,0.553
56,0.4704,0.4822,0.4317,0.4835,0.4964,0.4231,0.4815,0.4676,0.4626,0.4278,0.5461,0.5495
57,0.481,0.4821,0.4387,0.4712,0.4424,0.4317,0.4337,0.4511,0.4219,0.4318,0.5455,0.5472
58,0.4703,0.4669,0.4466,0.4513,0.4915,0.4091,0.4394,0.448,0.4529,0.4334,0.5444,0.5459
59,0.4636,0.498,0.4482,0.4657,0.4651,0.4189,0.4335,0.4753,0.4438,0.4404,0.5522,0.5561
60,0.4514,0.4778,0.4292,0.4635,0.4696,0.4362,0.4704,0.4637,0.4142,0.448,0.5283,0.5317
61,0.4721,0.5112,0.4398,0.4714,0.4926,0.3946,0.4751,0.4487,0.4683,0.4256,0.5493,0.5502
62,0.443,0.4921,0.4504,0.4645,0.4763,0.3888,0.4384,0.4279,0.4664,0.4306,0.5403,0.5436
63,0.4785,0.4881,0.4504,0.46,0.4969,0.4505,0.4726,0.4552,0.4749,0.4431,0.5444,0.5449
64,0.4794,0.5095,0.4406,0.4667,0.4826,0.418,0.4549,0.4436,0.4498,0.4272,0.5436,0.5453
65,0.4897,0.4891,0.4485,0.4635,0.4622,0.4328,0.4346,0.4607,0.4627,0.4393,0.5505,0.5522
66,0.47,0.4952,0.4273,0.4686,0.493,0.4044,0.4489,0.4759,0.4741,0.4536,0.5457,0.5483
67,0.5119,0.4965,0.4393,0.4764,0.488,0.4329,0.471,0.4781,0.4848,0.4676,0.5541,0.5554
68,0.4684,0.4777,0.4285,0.4519,0.4844,0.429,0.4109,0.4612,0.472,0.4518,0.5391,0.5427
69,0.4553,0.4687,0.4533,0.4555,0.466,0.4435,0.4635,0.4583,0.4597,0.4434,0.5333,0.5359
70,0.4747,0.5132,0.4323,0.4688,0.4698,0.4188,0.4351,0.4763,0.4807,0.4676,0.5505,0.5546
71,0.4843,0.506,0.4472,0.4705,0.4766,0.4283,0.4558,0.4519,0.4728,0.4316,0.5552,0.5588
72,0.4729,0.4919,0.4489,0.4637,0.4792,0.4153,0.4501,0.4635,0.4657,0.4253,0.5585,0.5624
73,0.4707,0.4938,0.4588,0.4605,0.4956,0.4317,0.4707,0.4633,0.4864,0.4511,0.5424,0.5453
74,0.5017,0.4712,0.4569,0.4746,0.4915,0.4201,0.4658,0.46,0.4422,0.446,0.5455,0.5476
75,0.5199,0.5269,0.4525,0.4483,0.4742,0.4318,0.437,0.4409,0.4533,0.4287,0.5642,0.5673
76,0.4572,0.4618,0.4813,0.4692,0.4701,0.4296,0.4692,0.4608,0.462,0.4483,0.5349,0.5361
77,0.4421,0.4578,0.448,0.476,0.4878,0.4427,0.483,0.4524,0.4811,0.4392,0.5297,0.535
78,0.4747,0.5285,0.4704,0.4732,0.4822,0.4285,0.4526,0.4517,0.468,0.4585,0.5446,0.5456
79,0.4518,0.4779,0.4393,0.4759,0.4801,0.4178,0.4677,0.4632,0.4807,0.4581,0.5331,0.5363
80,0.5011,0.5025,0.4644,0.4772,0.4962,0.4197,0.4562,0.4797,0.4477,0.4537,0.5629,0.5648
81,0.4649,0.5182,0.4586,0.4712,0.4685,0.4332,0.4797,0.464,0.4537,0.4524,0.5568,0.5583
82,0.4914,0.4732,0.4471,0.4635,0.4859,0.4429,0.4484,0.4815,0.4837,0.4569,0.5487,0.551
83,0.46,0.4556,0.4584,0.4802,0.4827,0.4426,0.4433,0.4804,0.4615,0.441,0.5228,0.523
84,0.4754,0.4934,0.4476,0.4719,0.4562,0.4357,0.4381,0.4683,0.448,0.4565,0.5409,0.5431
85,0.4676,0.4831,0.4659,0.4889,0.4786,0.4504,0.4615,0.4523,0.448,0.4618,0.5462,0.5497
86,0.4873,0.5119,0.4455,0.4761,0.4767,0.4411,0.4417,0.4628,0.4453,0.455,0.5491,0.5527
87,0.4972,0.5034,0.4387,0.4756,0.482,0.422,0.4718,0.4699,0.4715,0.4377,0.5416,0.5428
