Round,Subset 1,Subset 2,Subset 3,Subset 4,Subset 5,Subset 6,Subset 7,Subset 8,Subset 9,Subset 10,Aggregated
57,0.7068,0.704,0.685,0.6719,0.6786,0.5106,0.4791,0.4605,0.426,0.4679,0.7294
58,0.7037,0.7036,0.6806,0.6747,0.666,0.4859,0.4703,0.5045,0.4884,0.4803,0.7288
59,0.7036,0.7009,0.6692,0.6647,0.674,0.4664,0.4998,0.4585,0.4442,0.4657,0.73
60,0.7021,0.698,0.6722,0.6717,0.6779,0.3403,0.3983,0.4348,0.4788,0.4785,0.7231
61,0.7012,0.7026,0.6697,0.6618,0.6877,0.4643,0.4969,0.4941,0.5329,0.4821,0.7234
62,0.7099,0.7068,0.6694,0.6811,0.6696,0.5031,0.3959,0.4281,0.5068,0.4299,0.7244
63,0.7077,0.7099,0.6808,0.6755,0.6793,0.3519,0.328,0.4635,0.5144,0.4512,0.7315
64,0.701,0.7076,0.6595,0.6663,0.673,0.4785,0.4768,0.4072,0.4675,0.4417,0.7302
65,0.7002,0.7093,0.6838,0.6702,0.665,0.4442,0.4887,0.4766,0.5133,0.4201,0.7291
66,0.6983,0.7145,0.6608,0.6742,0.6695,0.4514,0.3851,0.432,0.4923,0.4447,0.7205
67,0.7095,0.7095,0.6771,0.674,0.6729,0.3662,0.4433,0.4256,0.3886,0.3382,0.738
68,0.7022,0.7115,0.6521,0.6711,0.667,0.4874,0.4583,0.506,0.4525,0.4536,0.733
69,0.7112,0.7079,0.6694,0.6714,0.6826,0.4338,0.4557,0.4051,0.3758,0.4416,0.7277
70,0.7118,0.7119,0.6816,0.6778,0.6665,0.4356,0.4502,0.4459,0.4695,0.4703,0.7311
71,0.7173,0.6976,0.6632,0.6744,0.6817,0.4566,0.3738,0.4855,0.4366,0.4836,0.7132
72,0.7098,0.7122,0.6749,0.6688,0.6767,0.4759,0.4634,0.4192,0.4457,0.4267,0.7329
73,0.7082,0.7113,0.6701,0.6623,0.6749,0.4385,0.467,0.4363,0.379,0.5096,0.7282
74,0.7057,0.7089,0.6687,0.6708,0.6785,0.4041,0.381,0.4627,0.4623,0.3518,0.7303
75,0.7141,0.7111,0.6654,0.677,0.6686,0.4149,0.4354,0.4564,0.444,0.4739,0.7323
76,0.7123,0.7068,0.6782,0.6749,0.6812,0.4138,0.467,0.4702,0.4638,0.3925,0.7358
77,0.7123,0.7098,0.6776,0.6668,0.6659,0.4681,0.4452,0.4039,0.4078,0.4639,0.7292
78,0.7116,0.7087,0.6849,0.6716,0.6715,0.4861,0.4509,0.4477,0.4647,0.444,0.7307
79,0.7023,0.6998,0.6718,0.6775,0.6706,0.4572,0.4641,0.4383,0.4261,0.4498,0.7291
80,0.7195,0.7064,0.6758,0.6651,0.6706,0.4393,0.369,0.4955,0.4057,0.4169,0.7358
81,0.7075,0.7102,0.6695,0.6775,0.6816,0.4067,0.4274,0.4672,0.434,0.4885,0.7349
82,0.7159,0.7094,0.6711,0.6846,0.6717,0.3941,0.3802,0.4856,0.4074,0.4583,0.7286
83,0.7135,0.7039,0.6686,0.6774,0.6776,0.4639,0.4361,0.4413,0.4777,0.4231,0.737
84,0.7171,0.7122,0.6671,0.6621,0.6734,0.4138,0.416,0.4407,0.4741,0.3238,0.7365
85,0.7089,0.7063,0.6764,0.6718,0.6846,0.394,0.4555,0.4607,0.3576,0.4138,0.7227
86,0.7074,0.7084,0.6642,0.6539,0.672,0.4212,0.3672,0.455,0.4197,0.3336,0.7307
87,0.7158,0.701,0.6726,0.6689,0.6659,0.4255,0.4615,0.4337,0.4539,0.4484,0.7323
88,0.7172,0.7111,0.6776,0.6742,0.6699,0.4236,0.3591,0.3883,0.3988,0.4807,0.7346
89,0.7192,0.7112,0.6637,0.6684,0.6659,0.462,0.4632,0.447,0.4558,0.4262,0.7338
90,0.7098,0.7108,0.6677,0.6745,0.6671,0.4374,0.4231,0.389,0.4031,0.388,0.7236
91,0.7095,0.7126,0.6713,0.679,0.6648,0.4313,0.3851,0.3754,0.4333,0.4694,0.7369
92,0.7095,0.7116,0.665,0.6748,0.6762,0.3695,0.3504,0.4552,0.4352,0.3504,0.727
93,0.7126,0.7125,0.6619,0.6763,0.6739,0.4461,0.3677,0.4601,0.4383,0.3167,0.7264
94,0.7127,0.6998,0.6797,0.6564,0.6766,0.3739,0.3555,0.4244,0.4126,0.3025,0.7355
95,0.7185,0.7106,0.6533,0.6741,0.6731,0.4517,0.3584,0.3657,0.427,0.4052,0.7387
96,0.7065,0.7108,0.6662,0.6828,0.6757,0.3995,0.4133,0.4135,0.4173,0.3836,0.7354
97,0.7054,0.7101,0.6815,0.6653,0.6752,0.4128,0.4145,0.2764,0.3939,0.4759,0.7465
98,0.7076,0.7077,0.6725,0.6679,0.6815,0.4521,0.3619,0.3976,0.3839,0.3648,0.7303
99,0.7131,0.7112,0.6793,0.6727,0.6738,0.3824,0.3046,0.4703,0.3908,0.4164,0.7425
100,0.7122,0.7086,0.6828,0.6666,0.6662,0.4595,0.4455,0.3313,0.422,0.4249,0.7379
