Round,Subset,0,1,2,3,4,5,6,7,8,9
7,6,0.0,0.001,0.0,0.0,0.0,1.0,0.0,0.0,0.002,0.012
7,7,0.027,0.008,0.0,0.0,0.0,0.0,1.0,0.0,0.071,0.008
7,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
7,9,0.0,0.0,0.053,0.076,0.17,0.045,0.356,0.288,0.997,0.0
7,10,0.171,0.0,0.027,0.048,0.237,0.036,0.016,0.058,0.0,1.0
7,Aggregated,0.221,0.013,0.071,0.126,0.339,0.137,0.453,0.311,0.595,0.881
8,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,3,0.0,0.016,0.998,0.0,0.0,0.0,0.0,0.005,0.0,0.023
8,4,0.0,0.003,0.0,1.0,0.0,0.0,0.0,0.0,0.021,0.002
8,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8,6,0.013,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.27,0.008
8,7,0.237,0.0,0.0,0.0,0.0,0.0,0.998,0.0,0.067,0.0
8,8,0.053,0.001,0.0,0.0,0.0,0.0,0.0,0.999,0.092,0.003
8,9,0.0,0.002,0.066,0.051,0.018,0.036,0.278,0.094,1.0,0.0
8,10,0.236,0.0,0.115,0.048,0.197,0.071,0.044,0.053,0.0,1.0
8,Aggregated,0.261,0.011,0.111,0.111,0.207,0.153,0.46,0.229,0.855,0.678
9,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0
9,2,0.014,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001
9,4,0.036,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.002,0.0
9,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
9,6,0.027,0.004,0.0,0.0,0.0,0.999,0.0,0.0,0.001,0.138
9,7,0.248,0.009,0.0,0.0,0.0,0.0,1.0,0.0,0.427,0.071
9,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.045,0.009
9,9,0.0,0.0,0.222,0.115,0.0,0.079,0.327,0.313,0.998,0.0
9,10,0.193,0.0,0.019,0.038,0.288,0.158,0.123,0.099,0.0,1.0
9,Aggregated,0.18,0.039,0.215,0.092,0.108,0.285,0.555,0.376,0.671,0.866
10,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2,0.015,0.999,0.01,0.002,0.007,0.021,0.0,0.001,0.0,0.0
10,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032
10,4,0.017,0.003,0.0,1.0,0.0,0.0,0.0,0.0,0.005,0.0
10,5,0.0,0.001,0.0,0.0,1.0,0.0,0.0,0.0,0.009,0.0
10,6,0.026,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.089,0.034
10,7,0.0,0.01,0.0,0.0,0.0,0.0,1.0,0.0,0.116,0.008
