Round,Class 0,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.892,0.488
2,0.029,0.0,0.0,0.0,0.023,0.025,0.048,0.004,0.779,0.657
3,0.0,0.0,0.0,0.077,0.0,0.003,0.122,0.061,0.701,0.737
4,0.206,0.0,0.002,0.019,0.026,0.1,0.408,0.115,0.708,0.722
5,0.26,0.0,0.122,0.06,0.062,0.057,0.38,0.142,0.639,0.805
6,0.257,0.0,0.073,0.025,0.069,0.173,0.45,0.21,0.84,0.62
7,0.208,0.0,0.114,0.105,0.077,0.137,0.532,0.235,0.677,0.865
8,0.185,0.003,0.269,0.09,0.114,0.175,0.541,0.35,0.889,0.64
9,0.226,0.002,0.111,0.123,0.4,0.204,0.557,0.26,0.728,0.86
10,0.13,0.049,0.179,0.196,0.268,0.247,0.448,0.361,0.861,0.768
11,0.192,0.01,0.155,0.146,0.181,0.377,0.485,0.345,0.858,0.8
12,0.159,0.051,0.213,0.118,0.383,0.39,0.37,0.402,0.851,0.815
13,0.227,0.025,0.181,0.354,0.369,0.284,0.451,0.35,0.873,0.781
14,0.256,0.037,0.164,0.285,0.327,0.23,0.535,0.431,0.78,0.861
15,0.164,0.065,0.204,0.248,0.311,0.359,0.524,0.444,0.891,0.764
16,0.19,0.086,0.197,0.254,0.212,0.405,0.513,0.398,0.853,0.849
17,0.193,0.038,0.21,0.312,0.371,0.273,0.51,0.495,0.849,0.85
18,0.188,0.139,0.199,0.307,0.354,0.332,0.513,0.443,0.884,0.828
19,0.232,0.165,0.309,0.204,0.334,0.436,0.434,0.392,0.847,0.852
20,0.238,0.203,0.179,0.341,0.326,0.314,0.62,0.474,0.867,0.819
21,0.299,0.147,0.154,0.256,0.303,0.399,0.512,0.47,0.853,0.847
22,0.291,0.178,0.2,0.277,0.339,0.42,0.584,0.405,0.849,0.847
23,0.29,0.335,0.175,0.219,0.389,0.441,0.581,0.295,0.84,0.832
24,0.264,0.174,0.283,0.316,0.287,0.385,0.574,0.521,0.852,0.845
25,0.255,0.29,0.272,0.289,0.289,0.318,0.579,0.485,0.863,0.833
26,0.284,0.218,0.337,0.262,0.386,0.338,0.467,0.443,0.865,0.857
27,0.3,0.16,0.283,0.245,0.374,0.415,0.476,0.423,0.864,0.861
28,0.309,0.137,0.244,0.344,0.346,0.372,0.601,0.491,0.853,0.86
29,0.202,0.242,0.314,0.235,0.403,0.372,0.515,0.458,0.892,0.83
30,0.289,0.263,0.326,0.238,0.278,0.393,0.498,0.506,0.858,0.86
31,0.27,0.341,0.309,0.205,0.37,0.439,0.541,0.49,0.857,0.828
32,0.265,0.264,0.343,0.319,0.274,0.354,0.548,0.476,0.833,0.881
33,0.267,0.21,0.326,0.201,0.343,0.365,0.581,0.476,0.885,0.843
34,0.316,0.223,0.292,0.278,0.423,0.375,0.544,0.424,0.855,0.851
35,0.219,0.258,0.347,0.199,0.366,0.36,0.535,0.49,0.876,0.847
36,0.239,0.209,0.286,0.321,0.359,0.411,0.544,0.478,0.881,0.847
37,0.331,0.313,0.238,0.226,0.436,0.402,0.579,0.511,0.839,0.835
38,0.322,0.173,0.216,0.332,0.33,0.348,0.516,0.428,0.866,0.868
39,0.229,0.22,0.349,0.326,0.382,0.356,0.455,0.447,0.889,0.841
40,0.27,0.22,0.258,0.335,0.389,0.411,0.554,0.438,0.87,0.86
41,0.26,0.255,0.273,0.304,0.465,0.365,0.58,0.452,0.865,0.841
42,0.274,0.269,0.217,0.267,0.364,0.349,0.604,0.457,0.88,0.84
43,0.24,0.265,0.285,0.286,0.395,0.4,0.51,0.435,0.87,0.856
44,0.239,0.287,0.305,0.328,0.332,0.357,0.535,0.478,0.861,0.864
45,0.26,0.212,0.303,0.287,0.387,0.373,0.519,0.514,0.874,0.848
46,0.292,0.223,0.298,0.33,0.228,0.383,0.536,0.477,0.877,0.855
47,0.218,0.255,0.216,0.222,0.381,0.343,0.6,0.456,0.868,0.87
48,0.222,0.203,0.315,0.378,0.305,0.307,0.595,0.446,0.865,0.867
49,0.309,0.261,0.316,0.322,0.327,0.385,0.642,0.492,0.838,0.846
50,0.293,0.308,0.238,0.387,0.3,0.429,0.55,0.517,0.85,0.844
51,0.272,0.198,0.372,0.31,0.263,0.371,0.562,0.474,0.868,0.872
52,0.275,0.27,0.319,0.29,0.405,0.351,0.61,0.408,0.865,0.853
53,0.231,0.203,0.405,0.289,0.373,0.353,0.587,0.481,0.877,0.864
54,0.248,0.291,0.346,0.318,0.313,0.385,0.408,0.436,0.861,0.864
55,0.251,0.264,0.332,0.342,0.322,0.368,0.605,0.427,0.859,0.851
56,0.223,0.196,0.318,0.325,0.416,0.358,0.455,0.471,0.881,0.853
57,0.288,0.296,0.281,0.271,0.386,0.392,0.544,0.493,0.883,0.843
58,0.236,0.239,0.314,0.328,0.355,0.383,0.573,0.468,0.87,0.856
59,0.228,0.167,0.259,0.318,0.412,0.313,0.546,0.432,0.85,0.892
60,0.278,0.284,0.352,0.329,0.328,0.39,0.533,0.464,0.883,0.836
61,0.251,0.285,0.321,0.363,0.324,0.376,0.582,0.453,0.87,0.833
62,0.239,0.257,0.344,0.365,0.332,0.369,0.426,0.375,0.879,0.854
63,0.251,0.249,0.318,0.274,0.369,0.352,0.593,0.429,0.889,0.843
64,0.272,0.287,0.376,0.323,0.341,0.415,0.562,0.47,0.866,0.838
65,0.25,0.209,0.331,0.235,0.386,0.358,0.642,0.434,0.875,0.871
66,0.203,0.234,0.299,0.269,0.508,0.324,0.492,0.51,0.85,0.863
67,0.2,0.291,0.305,0.262,0.411,0.402,0.577,0.51,0.878,0.832
68,0.278,0.228,0.335,0.265,0.44,0.355,0.487,0.506,0.848,0.868
69,0.224,0.246,0.348,0.287,0.374,0.365,0.558,0.511,0.891,0.832
70,0.244,0.289,0.351,0.295,0.396,0.379,0.562,0.43,0.857,0.859
71,0.243,0.22,0.352,0.286,0.438,0.35,0.565,0.466,0.895,0.84
72,0.254,0.34,0.354,0.377,0.364,0.367,0.565,0.454,0.867,0.817
73,0.306,0.21,0.333,0.382,0.292,0.331,0.554,0.451,0.859,0.876
74,0.272,0.27,0.365,0.269,0.393,0.398,0.524,0.454,0.842,0.877
75,0.208,0.211,0.341,0.258,0.473,0.403,0.56,0.445,0.895,0.831
76,0.257,0.277,0.293,0.328,0.479,0.306,0.567,0.446,0.859,0.852
77,0.249,0.288,0.247,0.244,0.37,0.467,0.539,0.56,0.884,0.821
78,0.216,0.272,0.37,0.287,0.394,0.344,0.498,0.482,0.863,0.871
79,0.254,0.316,0.329,0.212,0.376,0.397,0.515,0.571,0.852,0.842
80,0.279,0.246,0.297,0.283,0.36,0.379,0.567,0.521,0.871,0.851
81,0.225,0.229,0.298,0.25,0.372,0.507,0.573,0.453,0.885,0.853
82,0.241,0.301,0.358,0.301,0.383,0.26,0.644,0.492,0.847,0.853
83,0.293,0.257,0.309,0.295,0.333,0.404,0.55,0.476,0.876,0.857
84,0.284,0.269,0.333,0.259,0.429,0.369,0.576,0.449,0.851,0.874
85,0.213,0.351,0.3,0.364,0.36,0.32,0.62,0.493,0.865,0.834
86,0.28,0.182,0.342,0.324,0.31,0.387,0.461,0.507,0.891,0.858
87,0.251,0.261,0.404,0.25,0.381,0.346,0.637,0.448,0.865,0.854
88,0.245,0.23,0.352,0.251,0.389,0.291,0.583,0.498,0.877,0.861
89,0.295,0.264,0.273,0.272,0.481,0.436,0.526,0.476,0.872,0.841
90,0.239,0.269,0.28,0.308,0.309,0.452,0.455,0.52,0.865,0.85
91,0.252,0.194,0.333,0.302,0.316,0.37,0.568,0.437,0.856,0.886
92,0.228,0.15,0.304,0.276,0.454,0.324,0.547,0.486,0.895,0.846
93,0.265,0.24,0.298,0.284,0.343,0.376,0.553,0.515,0.882,0.843
94,0.304,0.212,0.297,0.191,0.384,0.41,0.584,0.458,0.846,0.884
95,0.293,0.247,0.301,0.305,0.458,0.402,0.54,0.475,0.853,0.849
96,0.282,0.291,0.364,0.238,0.314,0.422,0.536,0.492,0.874,0.847
97,0.294,0.222,0.321,0.354,0.419,0.383,0.496,0.463,0.869,0.863
98,0.281,0.203,0.354,0.265,0.328,0.385,0.561,0.501,0.879,0.851
99,0.262,0.265,0.281,0.232,0.307,0.422,0.612,0.55,0.87,0.865
100,0.26,0.231,0.283,0.273,0.311,0.446,0.616,0.448,0.903,0.851
