Round,Class 0,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9
75,0.572,0.558,0.36,0.217,0.317,0.357,0.573,0.517,0.56,0.497
76,0.555,0.578,0.363,0.233,0.332,0.315,0.576,0.515,0.572,0.492
77,0.562,0.624,0.328,0.269,0.334,0.322,0.575,0.488,0.555,0.446
78,0.535,0.571,0.362,0.234,0.318,0.31,0.559,0.499,0.593,0.49
79,0.539,0.587,0.346,0.239,0.337,0.308,0.57,0.487,0.58,0.471
80,0.576,0.602,0.354,0.224,0.309,0.323,0.581,0.489,0.549,0.493
81,0.563,0.553,0.365,0.26,0.321,0.316,0.535,0.511,0.582,0.505
82,0.546,0.581,0.374,0.225,0.322,0.312,0.607,0.493,0.609,0.471
83,0.552,0.585,0.385,0.251,0.299,0.335,0.568,0.507,0.587,0.465
84,0.589,0.574,0.382,0.238,0.339,0.291,0.567,0.512,0.594,0.463
85,0.572,0.564,0.366,0.237,0.316,0.354,0.552,0.52,0.57,0.493
86,0.578,0.592,0.357,0.227,0.336,0.351,0.581,0.496,0.58,0.462
87,0.568,0.556,0.339,0.232,0.354,0.336,0.557,0.514,0.593,0.49
88,0.584,0.549,0.39,0.226,0.333,0.316,0.59,0.508,0.569,0.478
89,0.555,0.601,0.37,0.233,0.289,0.343,0.586,0.497,0.577,0.451
90,0.558,0.566,0.397,0.235,0.324,0.338,0.582,0.5,0.591,0.484
91,0.556,0.574,0.405,0.244,0.337,0.327,0.576,0.495,0.589,0.465
92,0.562,0.569,0.38,0.252,0.326,0.318,0.569,0.519,0.576,0.472
93,0.54,0.61,0.378,0.263,0.319,0.337,0.571,0.501,0.596,0.449
94,0.566,0.561,0.4,0.242,0.355,0.315,0.549,0.51,0.581,0.47
95,0.567,0.573,0.38,0.214,0.335,0.363,0.562,0.509,0.561,0.49
96,0.593,0.556,0.36,0.247,0.36,0.336,0.575,0.496,0.583,0.48
97,0.541,0.608,0.411,0.231,0.318,0.321,0.566,0.498,0.578,0.449
98,0.559,0.568,0.37,0.25,0.347,0.302,0.577,0.515,0.548,0.475
99,0.616,0.543,0.384,0.231,0.34,0.315,0.585,0.496,0.562,0.488
100,0.578,0.547,0.39,0.232,0.337,0.345,0.551,0.515,0.577,0.492
