Round,Class 0,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9
75,0.849,0.886,0.344,0.35,0.473,0.502,0.668,0.584,0.492,0.494
76,0.871,0.906,0.303,0.335,0.397,0.556,0.61,0.504,0.436,0.431
77,0.881,0.902,0.3,0.356,0.357,0.462,0.569,0.559,0.528,0.383
78,0.896,0.89,0.31,0.272,0.483,0.53,0.565,0.609,0.468,0.423
79,0.881,0.909,0.288,0.377,0.398,0.401,0.675,0.562,0.442,0.398
80,0.844,0.91,0.355,0.282,0.45,0.498,0.666,0.695,0.502,0.427
81,0.881,0.888,0.336,0.289,0.462,0.475,0.668,0.635,0.492,0.442
82,0.869,0.9,0.409,0.351,0.394,0.418,0.607,0.572,0.515,0.452
83,0.879,0.931,0.329,0.33,0.439,0.426,0.601,0.511,0.426,0.356
84,0.89,0.917,0.315,0.325,0.434,0.454,0.644,0.554,0.504,0.372
85,0.87,0.917,0.383,0.265,0.44,0.491,0.644,0.514,0.506,0.432
86,0.879,0.878,0.371,0.282,0.459,0.44,0.662,0.62,0.441,0.459
87,0.876,0.906,0.365,0.38,0.372,0.435,0.657,0.58,0.46,0.385
88,0.875,0.89,0.381,0.39,0.382,0.409,0.597,0.464,0.51,0.475
89,0.882,0.899,0.283,0.314,0.437,0.441,0.585,0.56,0.369,0.489
90,0.875,0.905,0.382,0.307,0.408,0.448,0.605,0.626,0.459,0.42
91,0.884,0.918,0.343,0.366,0.358,0.423,0.602,0.526,0.491,0.348
92,0.875,0.913,0.392,0.329,0.359,0.43,0.632,0.534,0.535,0.399
93,0.892,0.925,0.252,0.426,0.333,0.432,0.512,0.548,0.4,0.38
94,0.902,0.907,0.314,0.253,0.39,0.474,0.654,0.577,0.341,0.353
95,0.891,0.911,0.32,0.232,0.257,0.46,0.711,0.633,0.439,0.361
96,0.856,0.915,0.315,0.302,0.336,0.505,0.593,0.611,0.497,0.385
97,0.891,0.911,0.289,0.284,0.47,0.447,0.701,0.504,0.393,0.388
98,0.868,0.92,0.335,0.35,0.381,0.428,0.678,0.61,0.519,0.33
99,0.882,0.918,0.329,0.344,0.454,0.45,0.539,0.602,0.447,0.393
100,0.857,0.923,0.314,0.426,0.445,0.415,0.505,0.533,0.503,0.362
