Round,Class 0,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9
1,0.989,0.099,0.0,0.0,0.069,0.0,0.0,0.0,0.0,0.0
2,0.827,0.451,0.113,0.26,0.555,0.0,0.0,0.016,0.015,0.129
3,0.835,0.487,0.03,0.294,0.351,0.016,0.308,0.088,0.066,0.149
4,0.651,0.752,0.052,0.151,0.275,0.027,0.509,0.292,0.172,0.321
5,0.525,0.862,0.199,0.113,0.659,0.065,0.204,0.318,0.171,0.212
6,0.728,0.67,0.321,0.3,0.39,0.071,0.265,0.315,0.321,0.322
7,0.622,0.695,0.21,0.286,0.478,0.083,0.337,0.413,0.412,0.41
8,0.674,0.868,0.273,0.271,0.366,0.253,0.282,0.429,0.343,0.216
9,0.669,0.787,0.3,0.163,0.511,0.277,0.376,0.452,0.358,0.339
10,0.601,0.903,0.265,0.354,0.14,0.248,0.367,0.527,0.285,0.365
11,0.674,0.826,0.314,0.212,0.58,0.351,0.277,0.45,0.436,0.278
12,0.722,0.823,0.431,0.248,0.488,0.261,0.38,0.391,0.372,0.289
13,0.726,0.841,0.268,0.386,0.363,0.239,0.44,0.525,0.419,0.4
14,0.681,0.803,0.295,0.512,0.348,0.26,0.602,0.55,0.296,0.516
15,0.711,0.823,0.262,0.422,0.432,0.367,0.463,0.554,0.414,0.502
16,0.7,0.861,0.309,0.3,0.452,0.355,0.628,0.592,0.408,0.412
17,0.669,0.806,0.355,0.476,0.473,0.314,0.477,0.522,0.544,0.493
18,0.698,0.849,0.389,0.35,0.478,0.389,0.429,0.566,0.564,0.393
19,0.724,0.863,0.385,0.403,0.471,0.282,0.611,0.516,0.398,0.48
20,0.657,0.824,0.228,0.267,0.57,0.444,0.59,0.638,0.57,0.505
21,0.662,0.781,0.225,0.416,0.557,0.421,0.642,0.601,0.561,0.473
22,0.687,0.834,0.362,0.354,0.499,0.371,0.583,0.656,0.485,0.52
23,0.737,0.885,0.344,0.355,0.445,0.327,0.667,0.629,0.512,0.462
24,0.712,0.801,0.409,0.389,0.536,0.285,0.664,0.593,0.573,0.413
25,0.714,0.843,0.388,0.332,0.362,0.35,0.78,0.666,0.447,0.526
26,0.754,0.869,0.358,0.376,0.543,0.423,0.521,0.545,0.588,0.487
