Round,Subset 1,Subset 2,Subset 3,Subset 4,Subset 5,Subset 6,Subset 7,Subset 8,Subset 9,Subset 10
1,1.3080,1.2044,1.2073,0.9200,1.3661,1.2937,0.9782,1.3011,1.5406,1.0242
2,1.1626,0.9903,1.1313,0.7861,1.1806,1.2128,0.9243,1.1196,1.3714,0.8557
3,1.1033,0.9645,1.0151,0.7103,1.1006,1.1378,0.9481,1.1944,1.4318,0.9301
4,0.9661,0.8624,0.9496,0.6823,1.1221,1.1232,0.7722,1.1483,1.4515,0.9325
5,0.9495,0.8281,0.9571,0.6185,1.0141,1.1294,0.8503,1.0778,1.3925,0.9857
6,0.8431,0.8285,0.8103,0.5791,1.0877,1.0439,0.8338,1.1692,1.6023,0.9541
7,0.7845,0.7272,0.8103,0.5575,1.0849,0.9950,0.7425,1.0615,1.5533,0.8849
8,0.7092,0.6474,0.8004,0.5172,0.9481,0.9550,0.6992,1.1931,1.4225,1.1369
9,0.6773,0.6318,0.7404,0.4945,0.9734,0.9579,0.7044,1.2548,1.5326,1.1356
10,0.5906,0.5881,0.7369,0.4903,0.9068,0.9528,0.6804,1.1650,1.3921,0.9619
11,0.5743,0.6156,0.6763,0.4600,0.9163,1.0157,0.6818,1.2366,1.4632,1.0186
12,0.5344,0.5632,0.6972,0.4291,1.1149,0.9242,0.7010,1.6667,1.3965,1.0016
13,0.4506,0.5025,0.6601,0.4756,0.9843,1.1207,0.7409,1.2375,1.6462,1.2869
14,0.4038,0.5095,0.6428,0.4249,1.0329,0.9938,0.6659,1.1479,1.5217,1.2266
15,0.3980,0.4812,0.6954,0.4253,0.9138,1.0348,0.7501,1.1733,1.4585,1.1406
16,0.3297,0.4588,0.6605,0.4115,1.0169,0.9906,0.7673,1.2393,1.7286,1.2437
17,0.3335,0.4426,0.5884,0.3757,0.9208,1.0192,0.7792,1.5174,1.6876,1.1224
18,0.2634,0.4098,0.5646,0.4252,1.1578,1.2016,0.6843,1.3167,1.7381,1.0305
19,0.2528,0.4088,0.5827,0.3664,1.1570,1.0359,0.6901,1.6252,1.4632,1.0334
20,0.2720,0.3864,0.5576,0.3606,1.1459,0.9592,0.7695,2.0467,2.0458,1.0305
21,0.1880,0.3760,0.5963,0.4331,0.8739,1.1135,0.6909,1.7920,1.7141,1.5331
22,0.1934,0.3418,0.5940,0.4220,0.9236,1.1957,0.6298,1.5827,2.0557,1.0784
23,0.1916,0.3563,0.5388,0.3607,1.0104,1.2145,0.7890,1.4475,1.4924,1.9546
24,0.1461,0.3511,0.5141,0.3691,0.9950,1.0660,0.7588,3.9436,3.1973,1.0973
25,0.1183,0.3197,0.5311,0.4118,0.9610,1.1923,0.7445,1.5244,1.8740,1.2816
26,0.1174,0.3097,0.5949,0.3355,0.9666,1.3138,0.7746,2.3738,1.8596,2.0662
27,0.0944,0.3011,0.5309,0.4143,0.9761,1.1621,0.8545,1.9064,2.0902,1.2726
28,0.0938,0.2623,0.5499,0.3678,1.0769,1.2062,0.7244,1.9031,2.0015,1.4065
29,0.1023,0.2866,0.5880,0.3597,1.1916,1.1853,1.0887,3.2141,2.2613,1.7235
30,0.0876,0.2702,0.5457,0.3233,1.0670,1.1484,1.0134,1.9548,5.0935,1.4229
31,0.0673,0.2468,0.5313,0.4725,1.0716,1.1891,0.8538,2.2313,1.7834,1.9003
32,0.0472,0.2310,0.5020,0.3303,1.1712,1.1762,0.7916,3.1757,3.2482,1.1697
33,0.0476,0.2323,0.5707,0.2937,1.0765,1.1949,0.8119,2.9884,2.1573,1.3732
34,0.0323,0.2256,0.5384,0.3359,1.2462,1.4486,0.8851,2.4851,1.8847,1.5113
35,0.0411,0.2303,0.5117,0.4031,1.3196,1.2218,0.9296,2.9350,4.0480,1.4033
36,0.0293,0.2224,0.5271,0.3515,1.1717,1.5489,0.9056,2.4962,2.8968,2.5270
37,0.0291,0.2110,0.5103,0.4141,1.1430,1.4562,0.8690,4.4348,2.0568,1.2988
38,0.0224,0.1929,0.4975,0.3594,1.2349,1.4430,0.9368,2.2190,3.2363,2.3207
39,0.0324,0.2001,0.5012,0.3680,1.0407,1.3587,0.8150,2.8640,5.0949,1.9410
40,0.0274,0.2006,0.5162,0.3467,1.5040,1.2649,0.9632,2.6796,2.5840,3.1985
41,0.0225,0.1956,0.5816,0.3485,1.1106,1.3359,0.7779,2.0210,1.7903,1.3574
42,0.0225,0.1975,0.5084,0.3152,1.1052,1.2176,0.8371,1.7105,3.1667,1.6185
43,0.0196,0.1637,0.4951,0.4034,1.4404,1.3991,0.8935,1.5120,2.0370,1.2607
44,0.0335,0.1734,0.5183,0.3788,1.0302,1.2754,0.9607,2.8106,2.8626,1.9351
45,0.0169,0.1578,0.4744,0.3834,1.1221,1.2901,1.1468,3.7679,1.8517,1.9851
46,0.0314,0.1606,0.4706,0.3596,1.0849,1.3586,1.0628,3.5619,2.0386,1.4834
47,0.0111,0.1574,0.5063,0.3676,1.1776,1.3615,0.9861,2.3248,4.6864,1.6891
48,0.0179,0.1648,0.5209,0.3317,1.3699,1.3519,1.0190,2.9996,6.5825,1.5741
49,0.0346,0.1677,0.4911,0.3297,1.3586,1.4843,0.9323,3.0558,2.6203,2.0648
50,0.0285,0.1730,0.4999,0.4034,1.2345,1.3667,1.0190,11.3382,2.6634,1.6273
51,0.0196,0.1421,0.5499,0.3274,1.4049,1.4552,0.9958,2.3867,2.0813,1.6202
52,0.0132,0.1505,0.4888,0.3821,1.3848,1.2628,1.0173,5.9487,4.8158,1.3335
53,0.0163,0.1290,0.5149,0.3437,1.2663,1.3971,0.9192,3.7573,2.7332,1.4851
54,0.0086,0.1271,0.4383,0.3939,1.3941,1.7699,0.9880,4.2472,1.8767,1.7494
55,0.0135,0.1390,0.4621,0.3693,1.1731,1.3339,0.9914,7.3229,3.6714,2.2221
56,0.0117,0.1294,0.4723,0.3440,1.3960,1.4307,0.8867,12.7130,2.3635,1.5186
57,0.0073,0.1212,0.4485,0.3311,1.4746,1.3416,0.9870,5.0476,2.6984,1.3780
58,0.0148,0.0926,0.4492,0.3792,1.2166,1.6222,1.0209,4.4095,2.3782,1.9976
59,0.0095,0.1246,0.5088,0.3871,1.3532,1.3986,0.9725,4.8020,2.1521,2.5012
60,0.0136,0.1375,0.5024,0.3554,1.1104,1.5245,0.9860,4.2251,4.6415,2.5942
61,0.0079,0.0982,0.4984,0.3576,1.3857,2.0317,0.9049,4.6481,2.3983,1.6630
62,0.0044,0.0996,0.4329,0.3292,1.2796,1.4520,1.0779,2.3084,3.0464,3.9951
63,0.0089,0.1007,0.5264,0.3227,1.6368,1.4207,0.9608,6.4608,3.9655,1.9054
64,0.0064,0.0999,0.4614,0.3328,1.5880,1.3274,0.8831,3.7910,1.9172,1.6255
65,0.0091,0.0867,0.4855,0.3165,1.3365,1.4936,1.0067,6.1333,3.0408,4.4017
66,0.0088,0.0965,0.4799,0.3412,1.2162,1.4773,1.1148,2.1145,5.4246,2.1258
67,0.0121,0.1005,0.4446,0.3242,1.4947,1.6095,1.0418,7.4953,2.6806,1.9245
68,0.0063,0.0891,0.4625,0.3694,1.3845,1.3177,1.1117,1.9886,14.4686,1.8352
69,0.0045,0.0807,0.4866,0.3867,1.2791,1.4645,1.2244,5.0735,18.2778,3.8207
70,0.0115,0.0848,0.4361,0.3325,1.4106,1.4143,0.9517,5.5259,10.1834,1.8150
71,0.0058,0.0980,0.4388,0.3402,1.3561,1.3427,1.0044,6.0319,2.1164,2.8836
