Method,0.2,0.5,1.0,5.0
fedavg,25.97,26.07,23.54,19.90
heterofl,14.89,16.45,18.47,19.38
fedrolex,25.60,28.35,29.08,27.75
fedrd,33.09,35.56,36.19,34.79
fedrame2,32.59,36.16,36.60,33.76
