Method,0.2,0.5,1.0,5.0
fedavg,1.00,1.00,1.00,1.00
heterofl,0.00,0.00,0.00,0.00
fedrolex,0.00,0.00,0.56,0.90
fedrd,1.26,9.54,10.43,21.89
fedrame2,2.64,11.27,18.25,28.14
