Round,Subset 1,Subset 2,Subset 3,Subset 4,Subset 5,Subset 6,Subset 7,Subset 8,Subset 9,Subset 10,Aggregated
42,0.7219,0.7118,0.6930499999999999,0.68725,0.69145,0.59942,0.5948399999999999,0.6072,0.58096,0.5911000000000001,0.7291
43,0.7124,0.7176,0.69835,0.6935,0.69705,0.59764,0.59916,0.58766,0.5883399999999999,0.5864800000000001,0.7374
44,0.7187,0.7144,0.6913,0.6969,0.6976,0.58696,0.6047,0.59618,0.5851799999999999,0.59374,0.7347
45,0.7229,0.7155,0.6947000000000001,0.69825,0.6986,0.57004,0.58612,0.59944,0.5796,0.5833200000000001,0.7361
46,0.7184,0.7246,0.6997,0.6995499999999999,0.7001,0.5819599999999999,0.59914,0.58142,0.5890000000000001,0.5874599999999999,0.7381
47,0.7278,0.7331,0.69855,0.69635,0.70105,0.57614,0.5911200000000001,0.58666,0.5887399999999999,0.60056,0.7343
48,0.7172,0.7207,0.69375,0.6942999999999999,0.6867,0.59448,0.6014,0.59094,0.5941599999999999,0.5917600000000001,0.7403
49,0.7112,0.7066,0.7005999999999999,0.70695,0.6986,0.5875999999999999,0.59594,0.5873799999999999,0.5882799999999999,0.57758,0.7334
50,0.7246,0.7093,0.69985,0.6991,0.70705,0.57438,0.6005,0.60094,0.6034200000000001,0.59576,0.7441
51,0.72,0.7314,0.70355,0.7085,0.7052,0.59238,0.59656,0.57054,0.5891000000000001,0.6009,0.7426
52,0.724,0.7233,0.6968,0.7026,0.70265,0.59548,0.56254,0.5979199999999999,0.56606,0.57628,0.7382
53,0.7266,0.731,0.6993,0.7034,0.7033499999999999,0.58118,0.59768,0.60038,0.60112,0.5864,0.7447
54,0.7252,0.7179,0.70215,0.70835,0.6973,0.59828,0.58476,0.6035600000000001,0.56812,0.5934800000000001,0.7444
55,0.7344,0.7305,0.70715,0.70765,0.7058,0.59444,0.59994,0.5931399999999999,0.5905,0.57814,0.7463
56,0.7233,0.7289,0.70425,0.7098500000000001,0.6971,0.5825,0.6032599999999999,0.58554,0.58772,0.5748599999999999,0.7437
57,0.737,0.728,0.70325,0.7081500000000001,0.71165,0.5913,0.59196,0.5947600000000001,0.5926799999999999,0.5898199999999999,0.7438
58,0.7355,0.7374,0.7072499999999999,0.7113499999999999,0.7031000000000001,0.5919000000000001,0.59654,0.59102,0.58668,0.5878,0.7467
59,0.7418,0.7246,0.71115,0.7120500000000001,0.70905,0.58524,0.5847800000000001,0.5818800000000001,0.5888599999999999,0.58138,0.7486
60,0.7348,0.728,0.7106,0.7111000000000001,0.7152000000000001,0.59792,0.5934200000000001,0.5740000000000001,0.5953199999999998,0.5970199999999999,0.7506
61,0.7183,0.7215,0.7021,0.7023,0.7105,0.5828599999999999,0.5915000000000001,0.59552,0.5856600000000001,0.57126,0.7471
62,0.7396,0.7238,0.7004999999999999,0.7153,0.7051499999999999,0.5823599999999999,0.59726,0.60564,0.59476,0.58668,0.7502
63,0.7226,0.7286,0.7187,0.7139,0.7042999999999999,0.57636,0.57438,0.5915600000000001,0.58658,0.5847600000000001,0.75
64,0.7322,0.7323,0.71645,0.71245,0.7125999999999999,0.5887,0.58406,0.5849,0.56928,0.59878,0.7547
65,0.7388,0.7326,0.69975,0.70535,0.7158,0.58056,0.59248,0.5718399999999999,0.5908200000000001,0.57338,0.7442
66,0.7395,0.7303,0.71045,0.70055,0.7162999999999999,0.5705,0.577,0.57034,0.5802799999999999,0.5781799999999999,0.7534
67,0.7401,0.7267,0.7157,0.7050000000000001,0.71765,0.5824,0.57506,0.59064,0.57906,0.5982000000000001,0.7547
68,0.7428,0.7296,0.7037,0.72345,0.7206999999999999,0.5899,0.58812,0.5768000000000001,0.5788399999999999,0.5780200000000001,0.7544
69,0.7305,0.7286,0.7092499999999999,0.7094499999999999,0.7186999999999999,0.5855600000000001,0.58998,0.5872200000000001,0.58,0.5918,0.7509
70,0.7395,0.7279,0.7167,0.7182,0.7136,0.56376,0.5763199999999999,0.56802,0.5799199999999999,0.594,0.7571
71,0.7408,0.7406,0.7105,0.7181500000000001,0.7129000000000001,0.58544,0.5702399999999999,0.58302,0.58074,0.5818800000000001,0.758
72,0.7373,0.7385,0.7193499999999999,0.7071000000000001,0.7172499999999999,0.57642,0.5541400000000001,0.5936600000000001,0.5870599999999999,0.5731,0.7538
73,0.7469,0.7296,0.72095,0.7112,0.7208,0.58056,0.58824,0.5956400000000002,0.57108,0.59414,0.7585
74,0.7394,0.731,0.72195,0.71365,0.7117,0.5610200000000001,0.5812,0.5960000000000001,0.5921000000000001,0.5762600000000001,0.7548
75,0.7427,0.7313,0.71565,0.7019500000000001,0.7127,0.5785199999999999,0.57914,0.573,0.5957800000000001,0.5957399999999999,0.748
76,0.7448,0.7432,0.71895,0.71295,0.72125,0.5938199999999999,0.58806,0.5740999999999999,0.5791999999999999,0.5776,0.7571
77,0.7334,0.7407,0.7097,0.7192000000000001,0.7202500000000001,0.57914,0.5735399999999999,0.57736,0.57774,0.59428,0.7542
78,0.7375,0.7487,0.7172499999999999,0.7067,0.71465,0.58244,0.5821200000000001,0.5668200000000001,0.5747800000000001,0.5755999999999999,0.7607
79,0.7492,0.7386,0.71885,0.7224999999999999,0.72105,0.5740399999999999,0.5881000000000001,0.59302,0.5867199999999999,0.5920799999999999,0.7588
80,0.739,0.7381,0.7198,0.7141,0.71425,0.59226,0.5958600000000001,0.57932,0.5699599999999999,0.5988,0.7604
81,0.7382,0.7413,0.71495,0.7181,0.7136,0.5710599999999999,0.57548,0.58008,0.58614,0.54904,0.762
82,0.7433,0.7349,0.7163999999999999,0.71105,0.7202500000000001,0.5780399999999999,0.5879200000000001,0.5987600000000001,0.5848,0.5909000000000001,0.7607
83,0.7533,0.7442,0.7196,0.7226,0.7118,0.58232,0.5821,0.58614,0.57792,0.57568,0.7589
84,0.7436,0.7386,0.7113499999999999,0.7210000000000001,0.7208,0.58536,0.58734,0.5904,0.57302,0.5870200000000001,0.7634
85,0.7439,0.7322,0.7128,0.71825,0.7138,0.58494,0.58416,0.56866,0.56762,0.57966,0.7556
86,0.7376,0.7442,0.7178,0.7167,0.7289000000000001,0.57562,0.5767599999999999,0.5825799999999999,0.57592,0.58256,0.7636
87,0.74,0.7477,0.6995,0.7112,0.7239500000000001,0.5623,0.58184,0.56416,0.58002,0.57738,0.7549
88,0.7528,0.7498,0.71875,0.7175,0.7217,0.5746,0.5672200000000001,0.54656,0.5785799999999999,0.5797399999999999,0.76
89,0.7259,0.7418,0.70895,0.7255,0.7132000000000001,0.5744,0.58364,0.5752200000000001,0.56014,0.55486,0.7578
90,0.7476,0.7396,0.71765,0.7239,0.7154499999999999,0.5732200000000001,0.5914200000000001,0.57746,0.5781400000000001,0.5705799999999999,0.7644
91,0.7416,0.7458,0.71445,0.72285,0.71575,0.54976,0.5624399999999999,0.5674199999999999,0.58124,0.5726800000000001,0.7637
92,0.7448,0.7432,0.71105,0.7161500000000001,0.7221500000000001,0.5792200000000001,0.55094,0.59006,0.57934,0.57784,0.7647
93,0.7387,0.7464,0.71295,0.71515,0.71915,0.57422,0.57098,0.57592,0.5813,0.57398,0.7609
94,0.74,0.7451,0.71885,0.7194499999999999,0.7226,0.5767599999999999,0.5800799999999999,0.58296,0.5764400000000001,0.5760799999999999,0.7605
95,0.7532,0.7496,0.7153,0.7172499999999999,0.7276,0.57236,0.5791999999999999,0.56952,0.55766,0.5648199999999999,0.7605
96,0.7508,0.7467,0.7219,0.7228,0.71845,0.5638,0.5779799999999999,0.56878,0.5403800000000001,0.57596,0.7572
97,0.7467,0.7396,0.7254,0.7172000000000001,0.72035,0.57044,0.55854,0.56318,0.5761,0.56714,0.7623
98,0.7543,0.7457,0.7140500000000001,0.7179,0.7162999999999999,0.57292,0.5707199999999999,0.5635,0.5856600000000001,0.5734,0.7629
99,0.7476,0.7548,0.71985,0.71885,0.7226,0.5857400000000001,0.5580999999999999,0.55764,0.57726,0.5473,0.7632
100,0.7362,0.7416,0.7179500000000001,0.7147,0.7174,0.55938,0.5560799999999999,0.5776600000000001,0.5865400000000001,0.5636800000000001,0.7641
