Round,Class_0_Acc,Class_1_Acc,Class_2_Acc,Class_3_Acc,Class_4_Acc,Class_5_Acc,Class_6_Acc,Class_7_Acc,Class_8_Acc,Class_9_Acc
74,0.874,0.907,0.343,0.32,0.464,0.484,0.596,0.58,0.55,0.358
75,0.845,0.877,0.368,0.343,0.506,0.529,0.643,0.567,0.509,0.486
76,0.862,0.902,0.334,0.323,0.427,0.579,0.585,0.493,0.444,0.412
77,0.883,0.9,0.317,0.357,0.384,0.486,0.549,0.552,0.549,0.373
78,0.891,0.887,0.323,0.272,0.5,0.551,0.546,0.597,0.478,0.411
79,0.879,0.905,0.299,0.384,0.429,0.412,0.659,0.556,0.451,0.389
80,0.837,0.91,0.369,0.273,0.492,0.521,0.635,0.686,0.515,0.41
81,0.876,0.882,0.345,0.275,0.496,0.494,0.648,0.629,0.508,0.43
82,0.864,0.892,0.431,0.349,0.423,0.427,0.591,0.568,0.52,0.445
83,0.88,0.93,0.344,0.325,0.459,0.437,0.584,0.494,0.438,0.339
84,0.886,0.909,0.331,0.318,0.451,0.467,0.631,0.554,0.523,0.361
85,0.867,0.909,0.393,0.262,0.469,0.511,0.64,0.505,0.527,0.414
86,0.875,0.877,0.375,0.273,0.487,0.463,0.652,0.61,0.463,0.452
87,0.871,0.903,0.382,0.375,0.386,0.442,0.646,0.575,0.476,0.372
88,0.875,0.882,0.398,0.383,0.409,0.421,0.596,0.462,0.531,0.463
89,0.882,0.891,0.299,0.313,0.467,0.46,0.577,0.558,0.39,0.485
90,0.868,0.896,0.403,0.308,0.422,0.467,0.586,0.615,0.47,0.413
91,0.882,0.909,0.363,0.354,0.39,0.433,0.594,0.523,0.507,0.339
92,0.875,0.906,0.422,0.324,0.379,0.448,0.617,0.524,0.55,0.395
93,0.895,0.924,0.261,0.422,0.355,0.453,0.517,0.54,0.42,0.376
94,0.898,0.905,0.328,0.244,0.422,0.485,0.642,0.569,0.356,0.343
95,0.893,0.902,0.34,0.241,0.273,0.476,0.701,0.632,0.451,0.355
96,0.855,0.911,0.34,0.303,0.358,0.525,0.584,0.609,0.514,0.376
97,0.892,0.905,0.313,0.282,0.502,0.461,0.687,0.492,0.41,0.376
98,0.867,0.912,0.351,0.353,0.415,0.441,0.667,0.599,0.535,0.328
99,0.873,0.912,0.34,0.345,0.482,0.469,0.525,0.593,0.469,0.37
100,0.851,0.92,0.332,0.431,0.479,0.431,0.497,0.522,0.523,0.36
