Round,Class_0_Acc,Class_1_Acc,Class_2_Acc,Class_3_Acc,Class_4_Acc,Class_5_Acc,Class_6_Acc,Class_7_Acc,Class_8_Acc,Class_9_Acc
74,0.813,0.855,0.504,0.339,0.581,0.462,0.783,0.691,0.645,0.672
75,0.811,0.851,0.563,0.4,0.603,0.385,0.745,0.603,0.742,0.553
76,0.755,0.874,0.418,0.446,0.615,0.516,0.744,0.655,0.672,0.663
77,0.809,0.86,0.561,0.522,0.568,0.37,0.643,0.572,0.743,0.564
78,0.807,0.883,0.545,0.416,0.562,0.461,0.719,0.601,0.656,0.59
79,0.841,0.843,0.489,0.414,0.687,0.473,0.641,0.624,0.678,0.56
80,0.787,0.889,0.374,0.363,0.622,0.553,0.599,0.739,0.636,0.626
81,0.764,0.864,0.452,0.388,0.641,0.522,0.78,0.695,0.623,0.643
82,0.799,0.905,0.387,0.456,0.597,0.447,0.599,0.737,0.678,0.609
83,0.823,0.868,0.526,0.494,0.533,0.409,0.725,0.627,0.659,0.63
84,0.799,0.869,0.599,0.444,0.529,0.39,0.694,0.615,0.733,0.57
85,0.805,0.866,0.556,0.39,0.551,0.399,0.787,0.64,0.656,0.642
86,0.775,0.877,0.478,0.428,0.62,0.494,0.757,0.698,0.698,0.65
87,0.834,0.853,0.462,0.384,0.637,0.561,0.703,0.627,0.702,0.595
88,0.751,0.875,0.54,0.397,0.537,0.415,0.769,0.534,0.793,0.621
89,0.788,0.877,0.511,0.362,0.653,0.448,0.811,0.605,0.721,0.566
90,0.822,0.866,0.479,0.416,0.609,0.566,0.727,0.665,0.654,0.535
91,0.81,0.876,0.485,0.452,0.598,0.393,0.747,0.688,0.717,0.586
92,0.793,0.891,0.572,0.398,0.566,0.457,0.787,0.61,0.669,0.595
93,0.82,0.873,0.471,0.5,0.611,0.46,0.662,0.635,0.715,0.642
94,0.814,0.838,0.513,0.513,0.626,0.45,0.649,0.703,0.686,0.59
95,0.755,0.823,0.564,0.482,0.618,0.517,0.727,0.605,0.726,0.624
96,0.849,0.888,0.514,0.357,0.583,0.421,0.672,0.633,0.692,0.58
97,0.787,0.853,0.583,0.494,0.585,0.38,0.74,0.606,0.755,0.604
98,0.822,0.844,0.519,0.43,0.664,0.49,0.678,0.649,0.663,0.648
99,0.826,0.857,0.576,0.464,0.578,0.427,0.749,0.659,0.675,0.635
100,0.804,0.89,0.485,0.431,0.608,0.514,0.693,0.677,0.68,0.638
101,0.806,0.874,0.441,0.382,0.63,0.538,0.73,0.686,0.693,0.666
102,0.784,0.879,0.485,0.36,0.648,0.518,0.76,0.671,0.716,0.657
103,0.803,0.891,0.538,0.352,0.559,0.538,0.687,0.701,0.591,0.613
104,0.817,0.879,0.439,0.486,0.693,0.4,0.754,0.583,0.733,0.6
105,0.804,0.864,0.545,0.531,0.591,0.443,0.672,0.63,0.721,0.598
106,0.847,0.873,0.506,0.359,0.647,0.469,0.764,0.652,0.661,0.605
107,0.821,0.907,0.54,0.311,0.529,0.517,0.806,0.602,0.611,0.616
108,0.821,0.875,0.52,0.436,0.618,0.428,0.749,0.673,0.729,0.54
109,0.811,0.881,0.429,0.437,0.592,0.393,0.855,0.639,0.695,0.65
110,0.805,0.861,0.528,0.451,0.585,0.539,0.768,0.687,0.596,0.664
111,0.829,0.88,0.461,0.489,0.612,0.457,0.745,0.649,0.718,0.634
112,0.796,0.886,0.547,0.411,0.587,0.483,0.719,0.7,0.747,0.624
113,0.838,0.877,0.548,0.404,0.63,0.475,0.776,0.662,0.658,0.614
114,0.824,0.88,0.453,0.48,0.549,0.483,0.573,0.725,0.727,0.628
115,0.793,0.858,0.381,0.475,0.712,0.512,0.704,0.694,0.686,0.606
116,0.82,0.903,0.543,0.452,0.601,0.493,0.746,0.642,0.655,0.588
117,0.835,0.894,0.491,0.447,0.609,0.496,0.739,0.664,0.7,0.619
118,0.796,0.895,0.597,0.423,0.542,0.495,0.784,0.65,0.693,0.577
119,0.862,0.874,0.565,0.457,0.599,0.423,0.671,0.673,0.706,0.564
120,0.818,0.863,0.573,0.452,0.602,0.492,0.712,0.68,0.683,0.58
121,0.825,0.87,0.599,0.351,0.593,0.356,0.798,0.594,0.649,0.602
122,0.828,0.871,0.513,0.412,0.542,0.604,0.697,0.718,0.62,0.644
123,0.798,0.892,0.521,0.383,0.653,0.473,0.755,0.691,0.711,0.579
124,0.8,0.871,0.527,0.316,0.689,0.472,0.803,0.667,0.609,0.605
125,0.83,0.868,0.586,0.371,0.63,0.466,0.722,0.668,0.688,0.587
126,0.836,0.889,0.614,0.402,0.605,0.364,0.757,0.579,0.688,0.579
127,0.841,0.874,0.451,0.47,0.668,0.497,0.726,0.688,0.664,0.669
128,0.834,0.873,0.577,0.348,0.646,0.512,0.722,0.699,0.632,0.612
129,0.818,0.902,0.545,0.5,0.585,0.399,0.779,0.624,0.645,0.599
130,0.792,0.847,0.501,0.408,0.684,0.379,0.81,0.652,0.752,0.657
131,0.818,0.898,0.559,0.398,0.661,0.439,0.746,0.632,0.672,0.588
132,0.852,0.902,0.449,0.436,0.605,0.436,0.725,0.76,0.63,0.596
133,0.819,0.885,0.607,0.44,0.589,0.43,0.779,0.569,0.706,0.569
134,0.824,0.85,0.551,0.399,0.589,0.372,0.869,0.636,0.67,0.65
135,0.789,0.897,0.549,0.408,0.565,0.444,0.828,0.702,0.692,0.589
136,0.777,0.867,0.463,0.434,0.667,0.547,0.789,0.608,0.643,0.673
137,0.821,0.879,0.563,0.377,0.636,0.392,0.819,0.629,0.634,0.585
138,0.83,0.871,0.58,0.393,0.625,0.381,0.812,0.569,0.732,0.567
139,0.815,0.86,0.51,0.497,0.627,0.457,0.764,0.712,0.677,0.605
140,0.822,0.86,0.514,0.43,0.638,0.376,0.823,0.636,0.719,0.631
141,0.827,0.888,0.509,0.463,0.681,0.536,0.662,0.634,0.637,0.6
142,0.841,0.888,0.498,0.385,0.648,0.485,0.79,0.66,0.669,0.556
143,0.848,0.889,0.484,0.463,0.624,0.439,0.725,0.656,0.659,0.649
144,0.825,0.88,0.513,0.506,0.612,0.424,0.693,0.672,0.764,0.612
145,0.858,0.873,0.516,0.409,0.613,0.436,0.765,0.605,0.742,0.629
146,0.834,0.902,0.482,0.407,0.64,0.46,0.745,0.627,0.715,0.613
147,0.846,0.881,0.58,0.401,0.585,0.525,0.716,0.64,0.699,0.576
