Round,Subset 1,Subset 2,Subset 3,Subset 4,Subset 5,Subset 6,Subset 7,Subset 8,Subset 9,Subset 10
61,0.3258,0.3125,0.5364,0.5035,0.5165,1.0308,1.0355,0.9650,1.0735,1.1183
62,0.3267,0.2868,0.5459,0.5303,0.5877,1.1178,1.0672,0.9900,1.0064,1.0244
63,0.2944,0.2910,0.5222,0.5237,0.5296,1.0908,1.0849,1.0283,1.0107,1.0593
64,0.3027,0.3032,0.5303,0.5336,0.5247,1.0315,1.0614,1.0087,1.0943,0.9930
65,0.2903,0.3243,0.5279,0.4935,0.5295,1.0408,1.0436,1.0826,1.0273,1.0720
66,0.3115,0.2833,0.5306,0.4780,0.5212,1.1333,1.1086,1.1092,1.0714,1.0915
67,0.3221,0.2664,0.5056,0.5082,0.5041,1.1067,1.0687,1.0449,1.0471,1.0544
68,0.2763,0.2609,0.5037,0.5050,0.5191,1.0661,1.0593,1.0361,1.0673,1.0543
69,0.2670,0.2553,0.5396,0.4978,0.5154,1.0617,1.0525,1.0118,1.0099,1.0130
70,0.2598,0.2933,0.4993,0.4957,0.5045,1.1472,1.1024,1.0564,1.0204,1.0485
71,0.2670,0.2515,0.5076,0.4785,0.5111,1.0805,1.1135,1.0791,1.0875,1.0573
72,0.2734,0.2537,0.5440,0.4768,0.4854,1.0412,1.1416,0.9809,1.0316,1.0693
73,0.2620,0.2458,0.4830,0.5042,0.4858,1.0903,1.0355,0.9982,1.1811,1.0051
74,0.2633,0.2551,0.5026,0.4796,0.4984,1.1535,1.1103,1.0412,1.0315,1.1181
75,0.2567,0.2481,0.4816,0.5006,0.4805,1.1314,1.1036,1.0613,0.9931,1.0134
76,0.2754,0.2216,0.4766,0.4731,0.4771,1.0078,1.0411,1.0203,1.0463,1.0932
77,0.2281,0.2208,0.5344,0.4516,0.4764,1.0452,1.0724,1.0291,1.0436,1.0593
78,0.2384,0.2262,0.4640,0.5224,0.4628,1.0376,1.1195,1.0121,1.0536,1.0537
79,0.2364,0.2202,0.4670,0.4765,0.5078,1.1184,1.0868,0.9902,1.0384,1.0386
80,0.2570,0.2458,0.4802,0.4571,0.4689,1.0396,1.0223,0.9973,1.0131,0.9885
81,0.2269,0.2151,0.4658,0.4506,0.4878,1.1244,1.0817,1.0807,1.0271,1.1261
82,0.2442,0.2081,0.4522,0.4525,0.4749,1.1036,1.0392,0.9800,1.0547,1.0479
83,0.2360,0.2025,0.4810,0.4537,0.4550,1.0241,1.0874,1.0631,1.0890,1.0480
84,0.2817,0.2087,0.4876,0.4500,0.4615,1.0506,1.1390,1.0327,1.0884,1.0116
85,0.2151,0.2222,0.5010,0.4616,0.4739,1.0735,1.0780,1.0928,1.0939,1.0820
86,0.2389,0.1944,0.4671,0.4668,0.4634,1.1246,1.0928,0.9993,1.0363,1.1111
