200
200
Label to index mapping is the same
Train Epoch: 72/100	Average Training Loss: 0.059717	Accuracy: 97666/100000 (98%)
Train Epoch: 73/100	Average Training Loss: 0.062716	Accuracy: 98041/100000 (98%)
Train Epoch: 74/100	Average Training Loss: 0.064815	Accuracy: 98276/100000 (98%)
Train Epoch: 75/100	Average Training Loss: 0.059567	Accuracy: 97410/100000 (97%)
Train Epoch: 76/100	Average Training Loss: 0.066327	Accuracy: 97889/100000 (98%)
Train Epoch: 77/100	Average Training Loss: 0.053118	Accuracy: 98512/100000 (99%)
Train Epoch: 78/100	Average Training Loss: 0.063112	Accuracy: 97956/100000 (98%)
Train Epoch: 79/100	Average Training Loss: 0.059506	Accuracy: 97963/100000 (98%)
Train Epoch: 80/100	Average Training Loss: 0.056410	Accuracy: 98774/100000 (99%)
Train Epoch: 81/100	Average Training Loss: 0.061545	Accuracy: 98472/100000 (98%)
Train Epoch: 82/100	Average Training Loss: 0.054068	Accuracy: 98231/100000 (98%)
Train Epoch: 83/100	Average Training Loss: 0.054739	Accuracy: 98647/100000 (99%)
Train Epoch: 84/100	Average Training Loss: 0.053020	Accuracy: 98441/100000 (98%)
Train Epoch: 85/100	Average Training Loss: 0.058128	Accuracy: 98771/100000 (99%)
Train Epoch: 86/100	Average Training Loss: 0.059122	Accuracy: 98829/100000 (99%)
Train Epoch: 87/100	Average Training Loss: 0.042277	Accuracy: 97361/100000 (97%)
Train Epoch: 88/100	Average Training Loss: 0.055034	Accuracy: 98934/100000 (99%)
Train Epoch: 89/100	Average Training Loss: 0.058479	Accuracy: 97680/100000 (98%)
Train Epoch: 90/100	Average Training Loss: 0.049055	Accuracy: 97587/100000 (98%)
Train Epoch: 91/100	Average Training Loss: 0.052157	Accuracy: 98522/100000 (99%)
Train Epoch: 92/100	Average Training Loss: 0.045903	Accuracy: 98223/100000 (98%)
Train Epoch: 93/100	Average Training Loss: 0.050005	Accuracy: 98617/100000 (99%)
Train Epoch: 94/100	Average Training Loss: 0.057998	Accuracy: 99074/100000 (99%)
Train Epoch: 95/100	Average Training Loss: 0.040086	Accuracy: 97842/100000 (98%)
Train Epoch: 96/100	Average Training Loss: 0.051303	Accuracy: 98237/100000 (98%)
Train Epoch: 97/100	Average Training Loss: 0.047143	Accuracy: 98424/100000 (98%)
Train Epoch: 98/100	Average Training Loss: 0.054266	Accuracy: 98765/100000 (99%)
Train Epoch: 99/100	Average Training Loss: 0.040481	Accuracy: 98033/100000 (98%)
Validation accuracy: 0.2782
