200
200
Label to index mapping is the same
Train Epoch: 72/100	Average Training Loss: 1.026958	Accuracy: 74747/100000 (75%)
Train Epoch: 73/100	Average Training Loss: 1.036297	Accuracy: 74512/100000 (75%)
Train Epoch: 74/100	Average Training Loss: 1.033776	Accuracy: 75570/100000 (76%)
Train Epoch: 75/100	Average Training Loss: 1.028040	Accuracy: 74900/100000 (75%)
Train Epoch: 76/100	Average Training Loss: 1.010154	Accuracy: 75304/100000 (75%)
Train Epoch: 77/100	Average Training Loss: 1.015300	Accuracy: 75592/100000 (76%)
Train Epoch: 78/100	Average Training Loss: 1.010990	Accuracy: 75330/100000 (75%)
Train Epoch: 79/100	Average Training Loss: 0.994743	Accuracy: 75227/100000 (75%)
Train Epoch: 80/100	Average Training Loss: 0.981834	Accuracy: 74388/100000 (74%)
Train Epoch: 81/100	Average Training Loss: 0.989738	Accuracy: 76097/100000 (76%)
Train Epoch: 82/100	Average Training Loss: 0.977423	Accuracy: 76427/100000 (76%)
Train Epoch: 83/100	Average Training Loss: 0.957179	Accuracy: 76271/100000 (76%)
Train Epoch: 84/100	Average Training Loss: 0.974354	Accuracy: 75943/100000 (76%)
Train Epoch: 85/100	Average Training Loss: 0.960771	Accuracy: 77008/100000 (77%)
Train Epoch: 86/100	Average Training Loss: 0.952303	Accuracy: 76330/100000 (76%)
Train Epoch: 87/100	Average Training Loss: 0.959192	Accuracy: 77300/100000 (77%)
Train Epoch: 88/100	Average Training Loss: 0.959907	Accuracy: 77050/100000 (77%)
Train Epoch: 89/100	Average Training Loss: 0.937990	Accuracy: 77495/100000 (77%)
Train Epoch: 90/100	Average Training Loss: 0.946286	Accuracy: 77332/100000 (77%)
Train Epoch: 91/100	Average Training Loss: 0.931886	Accuracy: 77253/100000 (77%)
Train Epoch: 92/100	Average Training Loss: 0.930916	Accuracy: 77579/100000 (78%)
Train Epoch: 93/100	Average Training Loss: 0.930228	Accuracy: 76370/100000 (76%)
Train Epoch: 94/100	Average Training Loss: 0.922847	Accuracy: 78017/100000 (78%)
Train Epoch: 95/100	Average Training Loss: 0.908364	Accuracy: 77474/100000 (77%)
Train Epoch: 96/100	Average Training Loss: 0.907226	Accuracy: 78117/100000 (78%)
Train Epoch: 97/100	Average Training Loss: 0.913128	Accuracy: 78138/100000 (78%)
Train Epoch: 98/100	Average Training Loss: 0.895579	Accuracy: 77389/100000 (77%)
Train Epoch: 99/100	Average Training Loss: 0.891649	Accuracy: 77896/100000 (78%)
Validation accuracy: 0.4390
