200
200
Label to index mapping is the same
Train Epoch: 72/100	Average Training Loss: 0.111643	Accuracy: 96770/100000 (97%)
Train Epoch: 73/100	Average Training Loss: 0.115398	Accuracy: 96935/100000 (97%)
Train Epoch: 74/100	Average Training Loss: 0.115429	Accuracy: 96776/100000 (97%)
Train Epoch: 75/100	Average Training Loss: 0.106987	Accuracy: 96520/100000 (97%)
Train Epoch: 76/100	Average Training Loss: 0.105479	Accuracy: 97080/100000 (97%)
Train Epoch: 77/100	Average Training Loss: 0.108688	Accuracy: 96981/100000 (97%)
Train Epoch: 78/100	Average Training Loss: 0.108634	Accuracy: 97103/100000 (97%)
Train Epoch: 79/100	Average Training Loss: 0.100273	Accuracy: 97196/100000 (97%)
Train Epoch: 80/100	Average Training Loss: 0.104310	Accuracy: 97322/100000 (97%)
Train Epoch: 81/100	Average Training Loss: 0.102341	Accuracy: 97341/100000 (97%)
Train Epoch: 82/100	Average Training Loss: 0.093778	Accuracy: 97164/100000 (97%)
Train Epoch: 83/100	Average Training Loss: 0.101806	Accuracy: 97352/100000 (97%)
Train Epoch: 84/100	Average Training Loss: 0.096240	Accuracy: 97203/100000 (97%)
Train Epoch: 85/100	Average Training Loss: 0.092389	Accuracy: 97073/100000 (97%)
Train Epoch: 86/100	Average Training Loss: 0.099615	Accuracy: 97021/100000 (97%)
Train Epoch: 87/100	Average Training Loss: 0.091185	Accuracy: 97303/100000 (97%)
Train Epoch: 88/100	Average Training Loss: 0.093665	Accuracy: 97257/100000 (97%)
Train Epoch: 89/100	Average Training Loss: 0.092808	Accuracy: 97552/100000 (98%)
Train Epoch: 90/100	Average Training Loss: 0.084384	Accuracy: 97396/100000 (97%)
Train Epoch: 91/100	Average Training Loss: 0.086686	Accuracy: 97602/100000 (98%)
Train Epoch: 92/100	Average Training Loss: 0.097604	Accuracy: 97427/100000 (97%)
Train Epoch: 93/100	Average Training Loss: 0.084861	Accuracy: 97556/100000 (98%)
Train Epoch: 94/100	Average Training Loss: 0.090542	Accuracy: 97560/100000 (98%)
Train Epoch: 95/100	Average Training Loss: 0.082421	Accuracy: 97429/100000 (97%)
Train Epoch: 96/100	Average Training Loss: 0.089915	Accuracy: 97739/100000 (98%)
Train Epoch: 97/100	Average Training Loss: 0.083465	Accuracy: 96981/100000 (97%)
Train Epoch: 98/100	Average Training Loss: 0.082445	Accuracy: 97664/100000 (98%)
Train Epoch: 99/100	Average Training Loss: 0.081094	Accuracy: 97797/100000 (98%)
Validation accuracy: 0.4100
