200
200
Label to index mapping is the same
Train Epoch: 72/100	Average Training Loss: 0.045993	Accuracy: 98401/100000 (98%)
Train Epoch: 73/100	Average Training Loss: 0.049640	Accuracy: 98385/100000 (98%)
Train Epoch: 74/100	Average Training Loss: 0.046207	Accuracy: 99046/100000 (99%)
Train Epoch: 75/100	Average Training Loss: 0.049098	Accuracy: 98540/100000 (99%)
Train Epoch: 76/100	Average Training Loss: 0.050629	Accuracy: 98820/100000 (99%)
Train Epoch: 77/100	Average Training Loss: 0.047453	Accuracy: 99079/100000 (99%)
Train Epoch: 78/100	Average Training Loss: 0.045265	Accuracy: 98856/100000 (99%)
Train Epoch: 79/100	Average Training Loss: 0.047421	Accuracy: 98719/100000 (99%)
Train Epoch: 80/100	Average Training Loss: 0.039026	Accuracy: 98728/100000 (99%)
Train Epoch: 81/100	Average Training Loss: 0.049678	Accuracy: 98772/100000 (99%)
Train Epoch: 82/100	Average Training Loss: 0.041393	Accuracy: 98710/100000 (99%)
Train Epoch: 83/100	Average Training Loss: 0.050800	Accuracy: 98971/100000 (99%)
Train Epoch: 84/100	Average Training Loss: 0.040833	Accuracy: 98849/100000 (99%)
Train Epoch: 85/100	Average Training Loss: 0.048646	Accuracy: 98554/100000 (99%)
Train Epoch: 86/100	Average Training Loss: 0.040394	Accuracy: 98831/100000 (99%)
Train Epoch: 87/100	Average Training Loss: 0.044138	Accuracy: 98612/100000 (99%)
Train Epoch: 88/100	Average Training Loss: 0.044021	Accuracy: 98817/100000 (99%)
Train Epoch: 89/100	Average Training Loss: 0.040285	Accuracy: 98985/100000 (99%)
Train Epoch: 90/100	Average Training Loss: 0.041720	Accuracy: 98919/100000 (99%)
Train Epoch: 91/100	Average Training Loss: 0.038876	Accuracy: 98927/100000 (99%)
Train Epoch: 92/100	Average Training Loss: 0.044766	Accuracy: 98796/100000 (99%)
Train Epoch: 93/100	Average Training Loss: 0.037469	Accuracy: 99206/100000 (99%)
Train Epoch: 94/100	Average Training Loss: 0.037679	Accuracy: 98919/100000 (99%)
Train Epoch: 95/100	Average Training Loss: 0.044949	Accuracy: 98834/100000 (99%)
Train Epoch: 96/100	Average Training Loss: 0.043111	Accuracy: 99053/100000 (99%)
Train Epoch: 97/100	Average Training Loss: 0.032940	Accuracy: 99055/100000 (99%)
Train Epoch: 98/100	Average Training Loss: 0.041362	Accuracy: 98859/100000 (99%)
Train Epoch: 99/100	Average Training Loss: 0.038420	Accuracy: 99037/100000 (99%)
Validation accuracy: 0.3248
