Round,Subset 1,Subset 2,Subset 3,Subset 4,Subset 5,Subset 6,Subset 7,Subset 8,Subset 9,Subset 10
1,3.0031,3.2466,2.9656,3.1593,3.2519,3.0776,3.3197,3.0810,3.2530,3.2317
2,2.7417,2.8455,2.6522,2.7925,2.9204,2.7192,2.9395,2.7647,2.8285,2.8221
3,2.3978,2.5622,2.5109,2.4446,2.4766,2.4830,2.7006,2.4883,2.6380,2.5344
4,2.2413,2.2024,2.2930,2.2058,2.2475,2.1157,2.3747,2.2098,2.3068,2.1745
5,1.9499,1.9802,1.9461,1.8936,1.9106,1.8830,2.1482,1.9152,2.0272,1.9948
6,1.6682,1.8181,1.6708,1.7795,1.7834,1.6149,2.0004,1.7210,1.9113,1.7422
7,1.6645,1.6466,1.5445,1.6089,1.6468,1.4654,1.7045,1.6071,1.6733,1.6160
8,1.5037,1.4895,1.3628,1.3773,1.3801,1.4530,1.6036,1.4019,1.5053,1.4005
9,1.2855,1.3705,1.2119,1.3344,1.2455,1.2875,1.3954,1.2368,1.3831,1.4428
10,1.1628,1.2598,1.0388,1.1842,1.0935,1.1181,1.2803,1.1859,1.2318,1.1643
11,1.1342,1.1935,1.0183,0.9521,1.0159,0.9749,1.3794,1.0188,1.1379,1.1119
12,1.0953,1.1030,1.0090,0.8907,0.8769,0.9090,1.0339,0.9309,1.0218,1.0102
13,0.8663,0.9565,0.8080,0.8959,0.9860,0.8586,0.9552,0.8900,0.9107,0.9692
14,0.8703,0.9152,0.7502,0.7459,0.7377,0.7468,0.9756,0.7254,0.9411,0.8686
15,0.7637,0.8361,0.6358,0.6729,0.6790,0.6067,0.7448,0.7107,0.7560,0.6891
16,0.7561,0.7589,0.6095,0.6251,0.6264,0.6335,0.8848,0.6767,0.6757,0.6478
17,0.5986,0.7400,0.5636,0.5970,0.5203,0.7113,0.6767,0.5596,0.6995,0.6844
18,0.6176,0.7159,0.4789,0.5712,0.5326,0.5279,0.5834,0.6264,0.4996,0.5744
19,0.5828,0.5478,0.4636,0.4733,0.4381,0.4688,0.5643,0.5168,0.5419,0.4761
