Method,0.8,0.85,0.9,0.95
fedavg,1.00,1.00,1.00,1.00
heterofl,0.00,0.00,0.00,0.00
fedrolex,1.22,0.58,0.53,0.21
fd,6.36,3.55,3.92,2.00
fedecover,6.09,3.39,4.95,2.11
