Round,Subset 1,Subset 2,Subset 3,Subset 4,Subset 5,Subset 6,Subset 7,Subset 8,Subset 9,Subset 10,Aggregated
41,0.58378,0.58294,0.57813,0.57955,0.58689,0.5858599999999999,0.5804700000000002,0.5795199999999999,0.6684,0.6698,0.6819
42,0.58132,0.5767599999999999,0.5795199999999999,0.5803,0.5806300000000001,0.58148,0.57786,0.58275,0.6751,0.665,0.6823
43,0.58488,0.58213,0.57885,0.5794600000000001,0.5880299999999999,0.58101,0.5785800000000001,0.57908,0.6531,0.6747,0.6812
44,0.58177,0.5855899999999999,0.5802700000000001,0.5848899999999999,0.58556,0.5856,0.58458,0.58499,0.6723,0.6492,0.6824
45,0.5827799999999999,0.5820999999999998,0.5858899999999999,0.5835699999999999,0.5879399999999999,0.5828,0.5857699999999999,0.57713,0.6716,0.6568,0.6767
46,0.58171,0.58415,0.58117,0.58558,0.58575,0.5885499999999999,0.5775699999999999,0.5859400000000001,0.669,0.6677,0.675
47,0.5832799999999999,0.58481,0.58131,0.58497,0.58398,0.5850000000000001,0.5863400000000001,0.5830500000000001,0.6765,0.6668,0.6789
48,0.5852600000000001,0.5864,0.5890799999999999,0.5838399999999999,0.58715,0.58292,0.57992,0.57797,0.6771,0.6759,0.6846
49,0.5856899999999999,0.58613,0.5867399999999999,0.583,0.5875299999999999,0.58864,0.58464,0.58199,0.6548,0.6672,0.681
50,0.5843499999999999,0.58913,0.5848,0.5898899999999999,0.5839999999999999,0.58775,0.58688,0.5867100000000001,0.6713,0.6768,0.6847
51,0.5891,0.58958,0.5857,0.5856500000000001,0.5870299999999998,0.5862,0.5862700000000001,0.5862599999999999,0.6715,0.6734,0.682
52,0.5867,0.5834,0.59071,0.58947,0.58666,0.58557,0.59466,0.5878,0.6786,0.6812,0.6835
53,0.5893700000000001,0.58728,0.58501,0.58988,0.5886899999999999,0.58903,0.5898,0.58702,0.6638,0.6826,0.682
54,0.58599,0.58387,0.58589,0.58885,0.59191,0.58587,0.5896600000000001,0.5838700000000001,0.6749,0.6665,0.6813
55,0.58579,0.58732,0.5896500000000001,0.5864,0.59466,0.58636,0.58776,0.5883299999999999,0.6669,0.675,0.6816
56,0.58844,0.5869,0.5899,0.5888500000000001,0.58691,0.58914,0.5925499999999999,0.59034,0.6821,0.6693,0.6816
57,0.58719,0.5908100000000001,0.58994,0.58854,0.59026,0.59175,0.59552,0.59073,0.6592,0.6757,0.6831
58,0.5888,0.5888,0.58992,0.58716,0.5901699999999999,0.58894,0.5877,0.5861099999999999,0.6794,0.6715,0.6804
59,0.59247,0.5902999999999999,0.59189,0.5921099999999999,0.5879300000000001,0.58953,0.58512,0.5921700000000001,0.6679,0.665,0.6777
60,0.58549,0.59222,0.59049,0.5904999999999998,0.59016,0.5903999999999999,0.5896600000000001,0.58876,0.6641,0.6667,0.6772
61,0.59539,0.59375,0.5927499999999999,0.5920699999999999,0.59087,0.59112,0.59363,0.5891400000000001,0.6605,0.6678,0.676
62,0.58853,0.59395,0.59311,0.5934299999999999,0.5948500000000001,0.5899300000000001,0.5915700000000002,0.5879899999999999,0.6774,0.6746,0.6847
63,0.58759,0.59092,0.59432,0.5955000000000001,0.59317,0.5935900000000001,0.5901500000000001,0.5905199999999999,0.6751,0.6699,0.6813
64,0.58998,0.59099,0.5917999999999999,0.5906899999999999,0.59514,0.59254,0.5920500000000001,0.59299,0.6783,0.6689,0.6845
65,0.5921900000000001,0.59625,0.58971,0.5896699999999999,0.5944,0.5918500000000002,0.59433,0.5912,0.6737,0.6738,0.6871
66,0.59286,0.5928,0.59436,0.58933,0.59705,0.59474,0.5963999999999999,0.5931799999999999,0.6793,0.6645,0.6842
67,0.5925900000000001,0.59375,0.5927399999999999,0.59383,0.5882700000000001,0.59504,0.5836500000000001,0.5929900000000001,0.6676,0.6677,0.6866
68,0.5923999999999999,0.59374,0.59303,0.59268,0.59249,0.59446,0.59307,0.59248,0.6776,0.6744,0.6901
69,0.59553,0.59695,0.5967,0.5908100000000001,0.59604,0.5930599999999999,0.5944299999999999,0.5905,0.6764,0.6625,0.6872
70,0.59636,0.5962,0.5949300000000001,0.5926599999999999,0.5949099999999999,0.5918599999999999,0.59466,0.5942900000000001,0.6808,0.6604,0.6884
71,0.59337,0.59677,0.59343,0.59578,0.5954,0.5897399999999999,0.59252,0.59042,0.6634,0.678,0.6915
72,0.5942700000000001,0.59889,0.59524,0.59831,0.5905100000000001,0.59872,0.5936099999999999,0.59813,0.6766,0.6734,0.6869
73,0.5945799999999999,0.59394,0.5919000000000001,0.5959399999999999,0.59789,0.59538,0.59674,0.5942199999999999,0.6725,0.6735,0.6909
74,0.59114,0.5946199999999999,0.59817,0.5929300000000001,0.59773,0.59539,0.59071,0.5960700000000001,0.678,0.6811,0.6893
75,0.594,0.5954200000000001,0.59534,0.59781,0.59582,0.5963499999999999,0.59835,0.59494,0.6843,0.6704,0.6867
76,0.59446,0.5976600000000001,0.5967600000000001,0.5968600000000001,0.5948499999999999,0.5974,0.59338,0.5961,0.6822,0.6674,0.6839
77,0.60104,0.5979699999999999,0.5974899999999999,0.59995,0.5999,0.59992,0.5962600000000001,0.5938899999999999,0.6704,0.6688,0.6839
78,0.5947500000000001,0.59695,0.59866,0.5955800000000001,0.59772,0.59527,0.5976300000000001,0.5975199999999999,0.6763,0.6597,0.6866
79,0.5905199999999999,0.59359,0.59697,0.5968199999999999,0.5974,0.5972500000000001,0.5912900000000001,0.6002699999999999,0.6578,0.6755,0.6836
80,0.5990599999999999,0.59665,0.5959300000000001,0.59708,0.59415,0.59754,0.59641,0.5957600000000001,0.6713,0.6711,0.6813
81,0.5953700000000001,0.59202,0.5986,0.59849,0.60102,0.59905,0.59056,0.5972600000000001,0.6854,0.6567,0.691
82,0.5977500000000001,0.59652,0.60102,0.5961700000000001,0.59826,0.5942000000000001,0.59948,0.5979600000000002,0.6729,0.6676,0.6869
83,0.59981,0.59906,0.5966199999999999,0.5966500000000001,0.59433,0.5957699999999999,0.59618,0.59611,0.6681,0.6769,0.6846
84,0.59487,0.602,0.60055,0.5988100000000001,0.5990599999999999,0.5950300000000001,0.5955199999999999,0.59693,0.6608,0.6737,0.6883
85,0.59633,0.59565,0.5961899999999999,0.59487,0.59931,0.5985500000000001,0.59654,0.5986100000000001,0.6664,0.6757,0.6885
