Round,Subset 1,Subset 2,Subset 3,Subset 4,Subset 5,Subset 6,Subset 7,Subset 8,Subset 9,Subset 10
1,0.836,0.7577,0.9203,0.8496,0.9662,0.9543,0.9336,0.9066,0.8975,0.8603
2,0.7718,0.7176,0.8494,0.8315,0.8081,0.8906,0.8638,0.932,0.8413,0.8348
3,0.7383,0.7185,0.8987,0.8033,0.8193,0.9102,1.0413,0.9527,0.8132,0.7993
4,0.6828,0.6546,0.8567,0.7353,0.8068,0.8722,0.9048,0.9025,0.7423,0.7737
5,0.6577,0.6114,0.7304,0.7132,0.7996,0.8528,0.9222,0.8074,0.828,0.7208
6,0.6479,0.576,0.7095,0.7127,0.7215,0.8706,0.8293,0.7645,0.7645,0.7249
7,0.6022,0.5477,0.7285,0.7053,0.7103,0.8264,0.8972,0.7752,0.7801,0.7986
8,0.6005,0.5447,0.6656,0.6271,0.7194,0.7808,0.8689,0.7898,0.8803,0.7629
9,0.6226,0.5305,0.6878,0.6144,0.6892,0.9023,0.8724,0.7918,0.8212,0.6652
10,0.5502,0.5076,0.6755,0.6334,0.6711,0.9224,0.9521,0.7704,1.0005,2.2713
11,0.5402,0.4866,0.6723,0.6079,0.6608,0.8107,1.0245,0.8407,0.9406,0.7562
12,0.5254,0.4777,0.6238,0.6199,0.6449,0.8628,0.7185,0.8357,0.73,0.6958
13,0.5084,0.4345,0.6323,0.6024,0.611,0.9132,0.9582,1.0304,0.8891,0.785
14,0.5048,0.4309,0.6692,0.6062,0.6283,0.8349,0.8323,0.7765,0.8526,0.7221
15,0.4781,0.4178,0.6374,0.621,0.6201,0.8024,0.9745,0.8368,0.71,0.7578
16,0.4696,0.4055,0.5961,0.5594,0.6041,0.767,0.8696,0.7786,0.7241,0.8108
17,0.4737,0.3672,0.5884,0.5761,0.6068,0.9044,0.8024,0.9011,0.8432,0.8601
18,0.4791,0.3577,0.6031,0.5574,0.625,0.8503,0.8483,0.899,0.8436,0.7664
19,0.4325,0.3736,0.5789,0.5902,0.5768,0.9044,0.7544,0.9296,0.7705,0.7209
20,0.4208,0.3429,0.5705,0.5248,0.5936,0.9454,0.7742,1.9289,0.8,0.8707
21,0.4066,0.3292,0.5739,0.5477,0.5793,1.0714,0.8913,0.7941,0.8703,0.8605
22,0.3931,0.3362,0.6053,0.599,0.5588,0.8289,1.1528,1.0688,0.869,1.0122
23,0.3844,0.3258,0.5676,0.533,0.5588,0.8708,1.2853,0.7312,0.7886,1.1246
24,0.3805,0.2943,0.5558,0.5286,0.5593,0.8174,0.867,1.0263,1.2392,0.8228
25,0.3667,0.2853,0.5426,0.5237,0.5757,0.9916,0.9171,1.388,0.7278,1.1768
26,0.3346,0.2743,0.5708,0.5458,0.5312,1.0205,0.833,1.3,1.0567,1.1387
27,0.3377,0.2688,0.5293,0.4867,0.5353,1.1046,1.037,2.1076,0.8286,0.7966
28,0.3375,0.2645,0.5529,0.4916,0.5272,0.8214,1.7968,0.9324,1.0562,0.7607
29,0.3449,0.2475,0.5566,0.496,0.5091,0.9451,1.1421,0.9912,0.9963,0.9219
30,0.3029,0.2311,0.5269,0.4987,0.526,0.8935,0.9498,1.1579,1.024,1.0772
31,0.304,0.2086,0.5236,0.4757,0.5197,1.0886,0.9801,0.865,1.0675,0.8904
32,0.2766,0.2276,0.5166,0.5056,0.5003,0.9854,0.9714,1.022,0.9194,0.8928
33,0.2797,0.2034,0.5025,0.4768,0.4673,1.0028,1.4645,1.1481,0.9823,0.9954
34,0.2576,0.1767,0.5266,0.5032,0.4959,1.2379,1.4613,0.9338,1.2111,1.1341
35,0.2579,0.1732,0.5269,0.468,0.5091,1.2291,0.9727,1.2066,1.1036,1.1697
36,0.2436,0.1619,0.4954,0.4604,0.4731,0.9467,0.852,1.2255,1.0412,0.8467
37,0.2562,0.1584,0.5115,0.5208,0.4672,1.9005,1.085,1.6601,1.0221,0.9723
38,0.2142,0.1521,0.5217,0.4783,0.4967,1.2389,1.3296,1.3971,1.1772,1.057
39,0.2255,0.1544,0.4483,0.4844,0.4966,1.2103,1.5905,1.348,1.0172,1.0751
40,0.2186,0.1417,0.4894,0.448,0.4541,1.6536,0.9472,1.7899,0.9149,1.2859
41,0.1927,0.1347,0.471,0.452,0.4665,1.3669,0.9871,1.0502,1.1284,1.1467
42,0.1905,0.1148,0.471,0.4438,0.4384,1.2819,1.5216,1.3951,1.24,1.2833
43,0.1771,0.107,0.4673,0.4628,0.4405,1.3867,1.4141,1.2623,0.9322,1.5882
44,0.1711,0.103,0.4609,0.4515,0.4549,1.2242,1.3748,1.3971,1.1856,1.076
45,0.1663,0.1343,0.4633,0.4558,0.4581,1.5443,2.5885,1.4778,1.3422,0.9221
46,0.1604,0.129,0.4607,0.521,0.4484,1.7592,1.2265,2.761,0.9541,1.4341
47,0.1523,0.0891,0.4878,0.469,0.4385,1.7506,1.903,2.398,1.4253,1.2841
48,0.142,0.1064,0.44,0.4657,0.4759,1.3201,1.317,2.6954,1.5079,1.5948
49,0.1372,0.081,0.4578,0.4563,0.4715,1.6892,2.5899,1.1482,1.3281,1.1399
50,0.1446,0.0838,0.4468,0.4414,0.4618,2.2397,1.3713,1.2639,1.5057,1.0745
51,0.14,0.0678,0.4344,0.4116,0.4152,1.3132,1.3947,1.5455,1.3845,1.1465
52,0.1246,0.0704,0.4544,0.4225,0.4244,1.2079,1.4355,1.653,2.0258,1.225
53,0.1339,0.0764,0.4481,0.4972,0.4387,1.642,1.7372,1.3092,1.4007,1.4068
54,0.1262,0.0735,0.4583,0.4283,0.4137,2.4213,1.2346,1.9389,1.949,2.9688
55,0.122,0.0695,0.4584,0.402,0.427,1.5383,1.3564,1.532,1.6051,1.1953
56,0.0974,0.0687,0.444,0.4367,0.4133,1.3912,1.1172,2.1859,1.9396,1.3069
57,0.084,0.0629,0.4207,0.4304,0.4202,1.2673,2.0184,3.3795,2.3827,2.1188
58,0.1034,0.0537,0.4348,0.3963,0.4015,2.9719,1.5824,1.379,2.5567,2.3316
