Round,Subset 1,Subset 2,Subset 3,Subset 4,Subset 5,Subset 6,Subset 7,Subset 8,Subset 9,Subset 10
62,0.0996,0.0761,0.4314,0.4384,0.4662,0.749,0.5932,0.657,0.6057,0.6334
63,0.1108,0.0638,0.4737,0.4117,0.4444,0.6973,0.808,0.7126,0.589,0.7435
64,0.1009,0.0516,0.4267,0.3891,0.4117,0.718,0.613,0.7236,0.6342,0.5841
65,0.0968,0.0582,0.4416,0.393,0.4177,0.6987,0.6781,0.6672,0.539,0.6722
66,0.0807,0.0548,0.4313,0.4142,0.4418,0.6476,0.8722,0.7668,0.5733,0.5837
67,0.0866,0.0558,0.4234,0.388,0.3971,1.1114,0.7025,0.6899,0.723,0.6882
68,0.104,0.0745,0.4415,0.41,0.4238,0.6588,0.6441,0.7939,0.5751,0.705
69,0.071,0.0498,0.4317,0.44,0.4205,0.6037,0.5938,0.8292,0.6821,0.5828
70,0.0864,0.035,0.409,0.4,0.4056,0.7581,0.6047,0.7456,0.6299,0.6204
71,0.0836,0.0325,0.4353,0.4035,0.4326,0.7247,0.5715,0.705,0.549,0.5855
72,0.0898,0.0295,0.451,0.38,0.4136,0.766,0.5962,0.6111,0.6229,0.7084
73,0.0694,0.0424,0.4363,0.3952,0.4145,0.8285,0.6004,0.6678,0.6614,0.7277
74,0.0735,0.0613,0.412,0.3794,0.3753,0.7411,0.7272,0.7626,0.5489,0.6182
75,0.0606,0.0254,0.4288,0.4202,0.416,0.7146,0.6768,0.7827,0.5559,0.6572
76,0.058,0.0351,0.4206,0.4301,0.3701,0.7703,0.6629,0.7595,0.7132,0.6296
77,0.0539,0.0368,0.4349,0.3941,0.4116,0.7853,0.6888,0.7726,0.6983,0.6341
78,0.0714,0.0331,0.4169,0.4033,0.3973,0.6907,0.7686,0.711,0.7861,0.6081
79,0.061,0.0244,0.4204,0.409,0.4116,0.7006,0.6751,0.7067,0.6538,0.635
80,0.0714,0.0231,0.3848,0.4396,0.3975,0.7419,0.6509,0.8164,0.6558,0.6043
81,0.0525,0.0213,0.4584,0.4237,0.3967,0.7749,0.6526,0.6955,0.7041,0.5963
82,0.0578,0.03,0.4078,0.4487,0.4068,0.8005,0.7618,0.7301,0.9817,0.7434
83,0.0398,0.025,0.4593,0.4138,0.3847,0.6973,0.763,0.7759,0.7211,0.8291
84,0.0563,0.0198,0.4005,0.4146,0.3964,0.6779,0.6509,0.7719,0.6075,0.698
85,0.0482,0.0288,0.3836,0.4074,0.3969,0.7054,0.7012,0.7284,0.6438,0.7402
86,0.0434,0.0199,0.4567,0.4604,0.4374,0.7316,0.6522,0.6941,0.6324,0.6915
87,0.0367,0.0162,0.3803,0.3815,0.3974,0.7906,0.6934,0.757,0.6645,0.6512
88,0.0452,0.016,0.4014,0.3971,0.3438,0.8271,1.0246,0.7418,0.8115,0.6832
89,0.0436,0.0138,0.3801,0.3707,0.4477,0.6694,0.8646,0.6155,0.6274,0.659
90,0.0372,0.0157,0.4111,0.4439,0.4247,0.7095,0.8032,0.7441,0.6543,0.6557
91,0.0357,0.0248,0.3982,0.3931,0.3543,0.7234,0.7005,0.6716,0.6295,0.6618
92,0.0383,0.0127,0.359,0.3704,0.4172,0.7008,0.6995,0.7255,0.8669,0.7698
93,0.035,0.0116,0.4187,0.3991,0.4153,0.6626,0.8643,0.7899,0.6083,0.7968
94,0.0308,0.0104,0.3828,0.3803,0.3754,0.7865,0.7134,0.6684,0.9108,0.7874
95,0.0323,0.0126,0.4263,0.4242,0.4074,0.7673,0.7859,0.8284,0.6263,0.6871
