Round,Subset 1,Subset 2,Subset 3,Subset 4,Subset 5,Subset 6,Subset 7,Subset 8,Subset 9,Subset 10
62,0.0612,0.0743,0.5984,0.5398,0.5927,4.2959,4.2344,3.9397,2.6612,4.1526
63,0.1024,0.0846,0.5839,0.5847,0.6321,5.0129,3.9066,3.6048,4.0638,3.9864
64,0.0705,0.0699,0.5838,0.6291,0.5996,3.6051,4.0524,3.6226,4.9282,3.0391
65,0.0721,0.0801,0.6087,0.6029,0.6009,5.8244,3.4585,4.062,3.5827,5.5406
66,0.0491,0.0523,0.5728,0.6051,0.6495,4.2431,6.2389,3.9512,3.1549,3.4543
67,0.0655,0.0505,0.5646,0.5773,0.6336,11.4137,7.2083,4.7818,4.7867,5.9327
68,0.0589,0.0472,0.6315,0.6178,0.6044,3.7391,4.9566,3.6009,3.9152,4.1016
69,0.0563,0.0745,0.578,0.5765,0.6059,4.8909,4.4469,3.881,8.0138,4.8577
70,0.0514,0.0651,0.6258,0.6147,0.6143,3.9134,3.6448,4.6553,5.224,3.9631
71,0.0626,0.0573,0.6589,0.6193,0.6275,4.9422,4.3046,3.4788,5.3612,3.7077
72,0.0419,0.0473,0.5868,0.6297,0.5829,4.3109,3.9109,5.9387,5.111,8.6093
73,0.0547,0.0445,0.6456,0.6166,0.5862,5.4124,3.7764,3.7693,4.2037,3.5039
74,0.0502,0.0418,0.5499,0.6061,0.6306,7.8461,4.1928,5.679,4.1806,5.6578
75,0.0512,0.0374,0.6851,0.6356,0.5924,4.3746,4.4407,4.6351,4.9942,4.6713
76,0.0376,0.0499,0.5955,0.5645,0.5956,5.1277,3.3691,3.7656,5.5952,4.5989
77,0.0355,0.0415,0.5918,0.5836,0.5858,5.1431,7.1355,7.6562,6.7927,4.3306
78,0.0348,0.0436,0.5609,0.5636,0.5734,2.8045,5.4615,4.2714,3.9907,5.4722
79,0.0531,0.0391,0.6004,0.5494,0.6281,3.9592,6.0936,3.7542,5.8764,4.4744
80,0.0302,0.0435,0.66,0.5674,0.5875,4.604,5.6574,4.7234,4.012,4.6099
81,0.0346,0.0418,0.5927,0.5745,0.5823,4.7136,3.3353,4.2053,4.7563,5.5023
82,0.0382,0.034,0.5764,0.5849,0.5667,5.3586,7.7291,4.0898,4.7466,4.586
83,0.0297,0.0293,0.6264,0.5894,0.5841,3.4565,3.8539,4.6917,4.7957,5.0152
84,0.0306,0.0336,0.5456,0.5703,0.6038,6.6877,5.1775,3.8166,3.222,3.633
85,0.0319,0.0338,0.5901,0.5142,0.5973,4.6688,3.3332,4.1403,5.9561,6.0138
86,0.0306,0.0342,0.6295,0.5454,0.5797,4.526,5.2281,3.8677,3.9364,5.744
87,0.0353,0.0261,0.5709,0.5803,0.6114,5.2046,3.2549,6.2797,3.5778,3.7242
88,0.0346,0.0251,0.5488,0.5248,0.5829,4.3332,6.3518,5.6586,5.4275,4.772
89,0.0268,0.0216,0.5724,0.5408,0.5766,4.9241,5.247,4.0677,4.4257,3.7596
90,0.0224,0.0423,0.5276,0.5329,0.5647,4.2205,5.3299,7.9438,4.9138,5.4864
91,0.0279,0.0227,0.5545,0.5682,0.563,4.7602,8.066,4.5175,4.7233,5.2657
92,0.0228,0.0335,0.5716,0.5164,0.5909,4.8906,5.9748,3.5704,3.2579,6.552
93,0.0226,0.0222,0.6207,0.4894,0.6035,5.3623,6.604,3.4581,4.6367,10.0869
94,0.0244,0.0241,0.5944,0.5174,0.5596,5.0365,5.6951,5.7456,3.4033,7.6987
95,0.0189,0.0283,0.5748,0.5389,0.5873,3.4419,6.7212,4.7312,5.0582,5.4768
96,0.0195,0.0185,0.5958,0.5473,0.5852,4.5183,6.0387,5.547,5.6768,6.3098
97,0.0196,0.0275,0.5742,0.5233,0.5581,4.9847,5.2322,10.0601,3.6812,4.6503
98,0.0235,0.0207,0.5387,0.5379,0.6096,4.4424,4.1828,4.5764,6.2507,5.962
99,0.0257,0.0267,0.5377,0.5604,0.6034,7.3824,7.9867,5.7442,7.4732,6.5374
100,0.021,0.0174,0.553,0.5296,0.5975,5.4904,4.6469,6.2359,5.1039,4.5202
101,0.0194,0.0258,0.5436,0.5117,0.5799,4.6503,8.0637,5.5795,6.658,4.052
102,0.0239,0.0198,0.5013,0.5377,0.5696,4.4197,6.1516,6.4177,6.4907,4.3793
103,0.0164,0.0199,0.5814,0.5545,0.4939,5.748,7.4943,3.9995,4.9886,6.79
104,0.0295,0.016,0.5507,0.5029,0.604,4.6743,5.399,7.2358,5.5442,4.9959
105,0.0206,0.0237,0.5246,0.5142,0.6396,5.4683,5.8169,6.454,6.3394,6.2154
106,0.0205,0.0214,0.515,0.5082,0.5598,7.6725,7.9036,3.8239,4.3724,5.3243
107,0.021,0.0226,0.5848,0.6216,0.5823,4.6874,6.1417,4.5631,5.2899,6.836
108,0.0217,0.0224,0.5468,0.5609,0.5702,4.6388,4.9701,5.1394,4.8967,6.3113
109,0.0135,0.0265,0.5375,0.4763,0.5334,5.5175,4.2071,4.1149,4.5443,8.0486
110,0.0271,0.0156,0.5785,0.5959,0.576,5.3248,4.6589,9.2105,5.2217,6.5842
111,0.0162,0.0138,0.5716,0.5645,0.5252,5.2222,4.9293,6.032,5.2547,7.2027
112,0.0173,0.0188,0.5657,0.5615,0.6431,5.2865,4.3496,6.4476,5.543,5.7674
113,0.0212,0.0142,0.5193,0.4917,0.5463,7.8609,5.935,3.8982,6.9773,4.685
114,0.0137,0.0213,0.5554,0.5402,0.5797,6.8894,8.0487,11.1149,8.5282,7.2505
115,0.0171,0.0112,0.5549,0.5039,0.5445,5.7367,5.6468,3.7889,4.4266,5.6299
116,0.0206,0.0164,0.4764,0.511,0.5234,6.5146,5.2565,7.2538,6.5463,5.5669
117,0.0227,0.0191,0.4963,0.5959,0.6079,4.0738,5.6932,5.6908,5.4949,4.5611
