Round,Subset 1,Subset 2,Subset 3,Subset 4,Subset 5,Subset 6,Subset 7,Subset 8,Subset 9,Subset 10
62,0.1053,0.1006,0.5808,0.5334,0.6055,1.2989,1.5976,1.5787,1.3466,1.6085
63,0.0991,0.1398,0.5891,0.5394,0.6422,1.7022,1.4482,1.4025,1.2617,1.3855
64,0.0841,0.0812,0.61,0.5986,0.6049,1.3901,1.3947,1.4853,1.5621,1.5489
65,0.0921,0.0809,0.6144,0.6064,0.5879,1.4951,1.4356,1.4939,1.3337,1.4644
66,0.0737,0.0751,0.5744,0.5765,0.6013,1.4734,1.7203,1.4795,1.314,1.3324
67,0.0838,0.0816,0.5622,0.555,0.5573,2.0749,1.6211,1.394,1.6171,1.6533
68,0.0586,0.0631,0.6062,0.5996,0.5648,1.4442,1.5254,1.3377,1.4143,1.6555
69,0.0792,0.074,0.6421,0.5592,0.5533,1.5057,1.566,1.5766,1.5793,1.4997
70,0.0651,0.0551,0.5628,0.6157,0.5702,1.3878,1.6213,1.5132,1.6319,1.5513
71,0.0886,0.0599,0.679,0.6266,0.5747,1.4005,1.5124,1.4177,1.4845,1.3581
72,0.0619,0.0537,0.5909,0.5558,0.541,1.3704,1.5783,1.5411,1.5403,1.6212
73,0.0528,0.0508,0.5904,0.5726,0.5571,1.5388,1.3902,1.53,1.6526,1.4336
74,0.0649,0.0428,0.5508,0.5714,0.568,1.7772,1.7342,1.5341,1.3423,1.6117
75,0.0648,0.0472,0.657,0.6501,0.5881,1.4455,1.6269,1.5188,1.4536,1.3689
76,0.0838,0.0647,0.589,0.5779,0.5423,1.628,1.5618,1.5351,1.3912,1.3505
77,0.0557,0.0534,0.5738,0.5587,0.5365,1.4656,1.8514,1.7252,1.6943,1.7407
78,0.0487,0.0519,0.5738,0.5314,0.5499,1.3431,1.538,1.4948,1.4211,1.4738
79,0.0515,0.0453,0.596,0.5375,0.5791,1.304,1.5478,1.5895,1.5987,1.385
80,0.0534,0.0513,0.6076,0.5488,0.5446,1.5839,1.8116,1.367,1.5265,1.5139
81,0.0478,0.0539,0.6033,0.5363,0.5264,1.4869,1.4741,1.4334,1.5063,1.3748
82,0.0448,0.0413,0.5521,0.6091,0.5486,1.6112,1.6651,1.3805,1.5634,1.4844
83,0.0427,0.0383,0.5603,0.5943,0.5552,1.3722,1.4647,1.5662,1.4776,1.5292
84,0.046,0.0498,0.5282,0.5353,0.5593,1.6041,1.7896,1.4225,1.4863,1.6251
85,0.0568,0.058,0.6016,0.5152,0.5447,1.5107,1.5251,1.5846,1.5234,1.4289
86,0.0386,0.0459,0.604,0.5306,0.539,1.4142,1.9121,1.4324,1.5898,1.6268
87,0.0381,0.0304,0.5485,0.5267,0.5714,1.603,1.4476,1.6879,1.6693,1.3758
88,0.0378,0.034,0.531,0.522,0.5391,1.5958,1.6989,1.7177,1.595,1.4394
89,0.0288,0.0288,0.5772,0.5623,0.5244,1.5184,1.4807,1.3868,1.3409,1.5068
90,0.0358,0.066,0.5237,0.5345,0.563,1.4222,1.8458,1.8156,1.4752,1.5844
91,0.0329,0.0282,0.5366,0.5621,0.5386,1.5742,1.7027,1.5297,1.5049,1.4883
92,0.0322,0.0445,0.5601,0.5294,0.55,1.7249,1.7176,1.4846,1.4661,1.6669
93,0.0398,0.0395,0.5826,0.503,0.5802,1.6485,1.7685,1.4073,1.3518,1.8903
94,0.0311,0.032,0.5529,0.5389,0.5594,1.742,1.77,1.593,1.5304,1.7261
95,0.0312,0.0295,0.5889,0.5318,0.6007,1.3783,1.7771,1.5014,1.6303,1.6998
96,0.0281,0.0348,0.5881,0.5292,0.5658,1.5512,1.7236,1.5887,1.5465,1.8106
97,0.0219,0.0299,0.5804,0.5401,0.5325,1.7732,1.6823,1.9348,1.7109,1.5829
98,0.0293,0.0296,0.5631,0.5074,0.569,1.62,1.663,1.51,1.5997,1.6113
99,0.0279,0.0198,0.5131,0.5483,0.5454,1.6446,1.6149,1.5194,1.8097,1.687
100,0.0302,0.0284,0.5545,0.5204,0.5888,1.5096,1.5041,1.7512,1.4391,1.4879
