Round,Class_0_Acc,Class_1_Acc,Class_2_Acc,Class_3_Acc,Class_4_Acc,Class_5_Acc,Class_6_Acc,Class_7_Acc,Class_8_Acc,Class_9_Acc
74,0.811,0.899,0.656,0.525,0.72,0.557,0.841,0.82,0.854,0.79
75,0.821,0.869,0.644,0.519,0.683,0.567,0.88,0.739,0.894,0.745
76,0.783,0.85,0.594,0.582,0.69,0.591,0.847,0.798,0.849,0.832
77,0.852,0.88,0.579,0.426,0.694,0.646,0.718,0.822,0.845,0.794
78,0.783,0.819,0.616,0.585,0.652,0.602,0.787,0.785,0.903,0.832
79,0.769,0.863,0.574,0.524,0.734,0.72,0.721,0.814,0.851,0.804
80,0.783,0.891,0.603,0.428,0.71,0.706,0.766,0.825,0.839,0.845
81,0.728,0.871,0.656,0.487,0.72,0.631,0.89,0.783,0.843,0.801
82,0.789,0.876,0.681,0.513,0.625,0.535,0.844,0.782,0.893,0.795
83,0.861,0.894,0.631,0.51,0.631,0.615,0.812,0.817,0.853,0.785
84,0.832,0.876,0.591,0.492,0.72,0.619,0.781,0.809,0.863,0.806
85,0.796,0.853,0.723,0.525,0.575,0.646,0.828,0.766,0.873,0.765
86,0.785,0.834,0.566,0.547,0.696,0.619,0.827,0.817,0.861,0.854
87,0.754,0.854,0.484,0.472,0.709,0.692,0.869,0.765,0.88,0.845
88,0.787,0.871,0.667,0.562,0.665,0.556,0.873,0.755,0.871,0.772
89,0.798,0.876,0.594,0.513,0.693,0.646,0.852,0.761,0.876,0.824
90,0.759,0.908,0.661,0.551,0.624,0.65,0.778,0.796,0.883,0.788
91,0.811,0.88,0.654,0.522,0.677,0.634,0.832,0.816,0.841,0.798
92,0.812,0.883,0.607,0.527,0.656,0.66,0.848,0.839,0.846,0.762
93,0.816,0.85,0.613,0.509,0.636,0.654,0.76,0.776,0.908,0.781
94,0.768,0.878,0.565,0.464,0.653,0.758,0.809,0.814,0.831,0.825
95,0.776,0.823,0.665,0.554,0.694,0.668,0.829,0.794,0.849,0.832
96,0.751,0.877,0.634,0.556,0.657,0.696,0.829,0.75,0.886,0.806
97,0.844,0.86,0.56,0.54,0.714,0.672,0.844,0.8,0.856,0.794
98,0.779,0.867,0.709,0.549,0.592,0.681,0.761,0.799,0.859,0.805
99,0.829,0.859,0.625,0.515,0.674,0.635,0.841,0.79,0.87,0.812
100,0.81,0.902,0.621,0.499,0.725,0.692,0.794,0.82,0.824,0.809
101,0.786,0.819,0.588,0.532,0.684,0.681,0.737,0.836,0.88,0.853
102,0.85,0.878,0.602,0.524,0.652,0.545,0.837,0.79,0.856,0.729
103,0.773,0.9,0.583,0.508,0.756,0.695,0.782,0.813,0.817,0.826
104,0.849,0.876,0.707,0.467,0.603,0.606,0.818,0.78,0.856,0.771
105,0.752,0.875,0.574,0.587,0.616,0.712,0.803,0.746,0.86,0.81
106,0.786,0.841,0.588,0.54,0.743,0.639,0.792,0.852,0.845,0.843
107,0.855,0.9,0.637,0.535,0.654,0.598,0.725,0.781,0.861,0.8
108,0.837,0.876,0.614,0.535,0.658,0.672,0.709,0.843,0.823,0.813
109,0.854,0.856,0.689,0.512,0.685,0.527,0.865,0.768,0.826,0.789
110,0.738,0.878,0.631,0.513,0.704,0.638,0.819,0.857,0.864,0.786
111,0.786,0.868,0.592,0.504,0.766,0.67,0.796,0.801,0.868,0.846
112,0.805,0.873,0.631,0.495,0.734,0.631,0.791,0.809,0.879,0.807
113,0.804,0.852,0.629,0.528,0.733,0.658,0.741,0.825,0.876,0.806
114,0.796,0.872,0.567,0.522,0.683,0.73,0.79,0.831,0.832,0.819
115,0.776,0.857,0.57,0.528,0.771,0.673,0.822,0.812,0.864,0.804
116,0.784,0.881,0.62,0.526,0.758,0.688,0.817,0.799,0.831,0.822
117,0.733,0.868,0.673,0.417,0.672,0.711,0.863,0.781,0.872,0.832
118,0.82,0.886,0.668,0.435,0.72,0.579,0.813,0.807,0.89,0.802
119,0.816,0.889,0.597,0.557,0.67,0.649,0.74,0.836,0.852,0.814
120,0.75,0.839,0.586,0.503,0.676,0.68,0.901,0.774,0.871,0.8
121,0.767,0.837,0.64,0.521,0.753,0.634,0.865,0.784,0.855,0.825
122,0.836,0.888,0.65,0.476,0.615,0.679,0.849,0.809,0.834,0.808
123,0.817,0.869,0.563,0.453,0.75,0.677,0.781,0.844,0.842,0.816
124,0.767,0.853,0.652,0.489,0.775,0.636,0.823,0.828,0.864,0.815
125,0.802,0.905,0.587,0.452,0.692,0.733,0.883,0.793,0.771,0.758
126,0.821,0.903,0.584,0.519,0.748,0.594,0.863,0.785,0.879,0.74
127,0.8,0.893,0.655,0.558,0.634,0.643,0.79,0.832,0.857,0.771
128,0.821,0.889,0.709,0.453,0.632,0.637,0.824,0.792,0.868,0.769
129,0.854,0.889,0.66,0.469,0.665,0.638,0.817,0.783,0.827,0.791
130,0.796,0.875,0.65,0.496,0.742,0.658,0.828,0.768,0.858,0.824
131,0.813,0.879,0.635,0.449,0.596,0.724,0.826,0.785,0.86,0.8
132,0.839,0.87,0.573,0.517,0.716,0.65,0.83,0.826,0.834,0.83
133,0.808,0.873,0.659,0.445,0.667,0.633,0.838,0.729,0.899,0.802
134,0.739,0.877,0.663,0.558,0.704,0.628,0.877,0.773,0.863,0.812
135,0.797,0.868,0.621,0.522,0.689,0.652,0.86,0.77,0.873,0.816
136,0.778,0.869,0.599,0.559,0.752,0.625,0.856,0.786,0.838,0.834
137,0.805,0.87,0.668,0.481,0.718,0.594,0.872,0.774,0.87,0.768
138,0.753,0.84,0.635,0.475,0.751,0.632,0.864,0.799,0.864,0.834
139,0.809,0.855,0.572,0.51,0.721,0.671,0.88,0.804,0.829,0.826
140,0.817,0.873,0.589,0.51,0.705,0.686,0.868,0.812,0.848,0.801
141,0.759,0.85,0.556,0.509,0.723,0.771,0.824,0.777,0.851,0.833
142,0.817,0.882,0.628,0.458,0.75,0.608,0.803,0.813,0.846,0.811
143,0.752,0.863,0.597,0.51,0.723,0.668,0.847,0.772,0.907,0.829
144,0.791,0.869,0.599,0.533,0.747,0.69,0.826,0.793,0.862,0.81
145,0.775,0.872,0.632,0.574,0.766,0.606,0.75,0.81,0.86,0.828
146,0.785,0.853,0.609,0.503,0.712,0.651,0.844,0.782,0.864,0.859
147,0.757,0.859,0.617,0.568,0.685,0.683,0.794,0.759,0.904,0.831
148,0.824,0.87,0.577,0.538,0.737,0.647,0.855,0.8,0.831,0.82
149,0.783,0.863,0.563,0.444,0.68,0.798,0.744,0.773,0.866,0.844
150,0.799,0.894,0.636,0.521,0.658,0.701,0.815,0.739,0.865,0.788
151,0.779,0.849,0.536,0.503,0.734,0.686,0.83,0.788,0.834,0.873
152,0.769,0.872,0.613,0.492,0.7,0.642,0.884,0.749,0.88,0.801
153,0.768,0.903,0.591,0.499,0.691,0.748,0.791,0.809,0.826,0.837
154,0.736,0.882,0.552,0.538,0.716,0.656,0.851,0.814,0.801,0.868
155,0.753,0.861,0.571,0.476,0.742,0.73,0.833,0.809,0.813,0.868
156,0.796,0.868,0.63,0.556,0.689,0.675,0.832,0.775,0.851,0.835
157,0.78,0.875,0.665,0.431,0.684,0.718,0.872,0.771,0.831,0.772
158,0.845,0.869,0.674,0.462,0.718,0.633,0.773,0.803,0.886,0.77
159,0.812,0.862,0.588,0.576,0.714,0.676,0.812,0.797,0.868,0.785
160,0.836,0.884,0.607,0.473,0.697,0.674,0.852,0.802,0.848,0.828
161,0.816,0.878,0.606,0.49,0.686,0.628,0.885,0.771,0.874,0.809
162,0.811,0.893,0.647,0.513,0.718,0.615,0.863,0.819,0.842,0.774
163,0.771,0.903,0.602,0.499,0.706,0.664,0.902,0.814,0.768,0.817
164,0.78,0.875,0.586,0.472,0.754,0.739,0.855,0.771,0.858,0.83
165,0.744,0.85,0.562,0.496,0.756,0.664,0.746,0.814,0.884,0.855
166,0.85,0.878,0.694,0.591,0.647,0.619,0.764,0.786,0.854,0.761
167,0.765,0.908,0.628,0.397,0.723,0.63,0.927,0.757,0.827,0.77
168,0.828,0.891,0.607,0.547,0.739,0.579,0.819,0.827,0.882,0.786
169,0.771,0.826,0.603,0.511,0.775,0.647,0.872,0.76,0.853,0.874
170,0.796,0.906,0.606,0.543,0.632,0.731,0.837,0.785,0.847,0.792
171,0.798,0.891,0.618,0.459,0.729,0.661,0.867,0.824,0.81,0.83
172,0.799,0.847,0.686,0.534,0.638,0.662,0.81,0.738,0.896,0.841
173,0.806,0.864,0.651,0.538,0.688,0.627,0.834,0.841,0.846,0.854
174,0.791,0.852,0.591,0.525,0.696,0.67,0.901,0.778,0.84,0.837
175,0.852,0.882,0.648,0.442,0.716,0.63,0.831,0.8,0.859,0.812
176,0.81,0.872,0.688,0.539,0.71,0.659,0.812,0.767,0.852,0.812
177,0.758,0.892,0.6,0.544,0.681,0.661,0.85,0.778,0.839,0.797
178,0.826,0.898,0.624,0.401,0.74,0.674,0.865,0.773,0.852,0.783
179,0.815,0.855,0.584,0.508,0.795,0.646,0.838,0.811,0.843,0.823
180,0.791,0.911,0.59,0.579,0.667,0.612,0.844,0.824,0.843,0.818
181,0.815,0.816,0.657,0.494,0.695,0.681,0.832,0.796,0.895,0.837
182,0.818,0.887,0.617,0.517,0.688,0.651,0.831,0.808,0.837,0.812
183,0.814,0.871,0.591,0.497,0.716,0.705,0.823,0.807,0.837,0.835
184,0.793,0.896,0.672,0.501,0.745,0.6,0.844,0.792,0.863,0.796
185,0.833,0.896,0.598,0.49,0.726,0.643,0.827,0.822,0.815,0.828
186,0.867,0.85,0.603,0.439,0.668,0.678,0.795,0.827,0.834,0.848
187,0.822,0.877,0.574,0.485,0.734,0.659,0.859,0.839,0.841,0.818
188,0.792,0.898,0.605,0.608,0.73,0.618,0.846,0.803,0.835,0.771
189,0.802,0.874,0.61,0.538,0.689,0.703,0.773,0.779,0.863,0.809
190,0.802,0.874,0.679,0.479,0.696,0.675,0.808,0.794,0.895,0.807
191,0.815,0.867,0.669,0.521,0.645,0.664,0.813,0.808,0.862,0.793
192,0.807,0.867,0.576,0.577,0.71,0.698,0.772,0.777,0.874,0.818
193,0.823,0.846,0.604,0.51,0.707,0.707,0.783,0.804,0.872,0.827
194,0.835,0.92,0.656,0.476,0.614,0.647,0.846,0.797,0.862,0.767
195,0.753,0.888,0.637,0.533,0.746,0.665,0.856,0.805,0.823,0.77
196,0.816,0.905,0.656,0.523,0.657,0.669,0.833,0.797,0.851,0.784
197,0.809,0.868,0.634,0.512,0.655,0.708,0.825,0.762,0.86,0.847
198,0.787,0.879,0.69,0.551,0.685,0.614,0.847,0.791,0.866,0.811
199,0.803,0.851,0.69,0.506,0.747,0.654,0.773,0.756,0.857,0.842
200,0.774,0.913,0.631,0.522,0.695,0.668,0.865,0.796,0.828,0.793
