Method,0.2,0.5,1.0,5.0
fedavg,29.01,33.38,33.57,35.32
heterofl,19.07,24.41,26.18,29.79
fedrolex,21.95,29.47,32.94,37.33
fd,31.19,38.55,43.30,48.38
fedecover,31.95,41.64,44.64,49.07
