Round,Subset 1,Subset 2,Subset 3,Subset 4,Subset 5,Subset 6,Subset 7,Subset 8,Subset 9,Subset 10
61,0.9002,0.7791,0.7862,0.7870,0.8247,0.7654,0.8456,0.8361,0.7823,0.7408
62,0.8166,0.7805,0.7839,0.7829,0.7799,0.7555,0.7897,0.7847,0.8146,0.7709
63,0.8050,0.8130,0.8285,0.7428,0.7526,0.7673,0.7631,0.7751,0.7815,0.7764
64,0.7819,0.7426,0.8227,0.7934,0.7680,0.7606,0.7762,0.7002,0.7952,0.7616
65,0.7578,0.7340,0.8741,0.8402,0.7258,0.7648,0.8143,0.7390,0.7663,0.7649
66,0.8251,0.7961,0.8135,0.7657,0.7739,0.7613,0.7511,0.6823,0.7283,0.7815
67,0.7096,0.7505,0.7789,0.7264,0.7881,0.7364,0.7722,0.7416,0.7598,0.7523
68,0.7573,0.7870,0.7344,0.7397,0.7218,0.7615,0.7163,0.7455,0.8118,0.7232
69,0.7298,0.7770,0.7275,0.7199,0.7483,0.7259,0.7504,0.7419,0.8644,0.7959
70,0.7435,0.7265,0.7546,0.7444,0.7830,0.7251,0.7044,0.7712,0.7472,0.7222
71,0.7144,0.6632,0.7177,0.7256,0.7569,0.6698,0.8070,0.7505,0.7457,0.7626
72,0.6992,0.6762,0.7107,0.6856,0.7250,0.7217,0.6649,0.6969,0.6881,0.7056
73,0.6934,0.6881,0.7225,0.7459,0.7090,0.6866,0.7361,0.6803,0.7166,0.7266
74,0.7041,0.6654,0.6828,0.6625,0.7153,0.6470,0.7803,0.6569,0.7081,0.7792
75,0.6952,0.6416,0.7635,0.6807,0.6823,0.7098,0.6861,0.6549,0.6615,0.6921
76,0.6629,0.7182,0.6748,0.7011,0.6717,0.6773,0.7294,0.6700,0.7336,0.7238
77,0.7096,0.6341,0.6924,0.7460,0.6750,0.7384,0.6656,0.6182,0.6719,0.6805
78,0.7362,0.6901,0.6480,0.6584,0.6955,0.6618,0.6957,0.6560,0.6953,0.6395
79,0.6639,0.6875,0.6858,0.6610,0.6743,0.7036,0.7012,0.6510,0.7113,0.6550
80,0.6789,0.7345,0.7182,0.6636,0.6497,0.6730,0.6385,0.6428,0.6257,0.6546
81,0.6428,0.6280,0.6792,0.6712,0.7013,0.6695,0.7188,0.6293,0.6633,0.6367
82,0.7151,0.6626,0.6952,0.6293,0.7489,0.6473,0.7451,0.6597,0.6283,0.7065
83,0.6929,0.6585,0.6434,0.6535,0.7257,0.6210,0.6547,0.6339,0.7084,0.6929
84,0.6210,0.6075,0.6681,0.6062,0.6846,0.6076,0.6265,0.5528,0.6780,0.6950
