Round,Class_0_Acc,Class_1_Acc,Class_2_Acc,Class_3_Acc,Class_4_Acc,Class_5_Acc,Class_6_Acc,Class_7_Acc,Class_8_Acc,Class_9_Acc
74,0.57,0.7,0.442,0.262,0.551,0.545,0.825,0.625,0.777,0.675
75,0.565,0.674,0.466,0.294,0.568,0.523,0.799,0.632,0.782,0.692
76,0.564,0.68,0.422,0.264,0.577,0.504,0.848,0.64,0.771,0.695
77,0.572,0.697,0.438,0.289,0.591,0.544,0.814,0.657,0.763,0.7
78,0.554,0.685,0.449,0.267,0.563,0.537,0.843,0.64,0.769,0.702
79,0.565,0.696,0.453,0.277,0.578,0.494,0.848,0.62,0.779,0.697
80,0.549,0.679,0.44,0.273,0.586,0.519,0.835,0.644,0.768,0.718
81,0.579,0.696,0.46,0.295,0.575,0.522,0.83,0.629,0.791,0.709
82,0.579,0.682,0.456,0.288,0.578,0.517,0.835,0.647,0.774,0.711
83,0.552,0.67,0.422,0.274,0.588,0.527,0.848,0.655,0.763,0.718
84,0.557,0.712,0.465,0.294,0.568,0.515,0.849,0.635,0.779,0.708
85,0.558,0.672,0.443,0.285,0.588,0.519,0.858,0.638,0.769,0.712
86,0.584,0.708,0.462,0.288,0.562,0.526,0.849,0.645,0.792,0.707
87,0.58,0.701,0.46,0.311,0.593,0.555,0.825,0.639,0.783,0.725
88,0.597,0.688,0.448,0.287,0.601,0.551,0.839,0.634,0.794,0.729
89,0.588,0.706,0.458,0.314,0.586,0.558,0.827,0.651,0.79,0.727
90,0.593,0.7,0.464,0.29,0.601,0.532,0.844,0.653,0.779,0.721
91,0.578,0.702,0.458,0.293,0.593,0.538,0.863,0.631,0.784,0.716
92,0.581,0.704,0.474,0.302,0.597,0.525,0.838,0.663,0.774,0.728
93,0.567,0.714,0.463,0.304,0.616,0.544,0.839,0.637,0.793,0.721
94,0.587,0.694,0.47,0.288,0.596,0.536,0.862,0.64,0.788,0.728
95,0.584,0.695,0.466,0.3,0.598,0.569,0.833,0.654,0.768,0.729
96,0.582,0.706,0.451,0.305,0.594,0.563,0.85,0.677,0.782,0.729
97,0.589,0.716,0.488,0.306,0.61,0.514,0.852,0.63,0.804,0.716
98,0.619,0.726,0.465,0.309,0.601,0.549,0.853,0.627,0.795,0.725
99,0.601,0.705,0.46,0.306,0.609,0.523,0.86,0.655,0.778,0.737
100,0.596,0.728,0.465,0.304,0.603,0.543,0.851,0.654,0.795,0.73
101,0.587,0.719,0.466,0.294,0.616,0.544,0.852,0.666,0.769,0.728
102,0.59,0.697,0.487,0.314,0.612,0.524,0.848,0.661,0.788,0.721
103,0.606,0.714,0.509,0.325,0.62,0.529,0.822,0.649,0.809,0.715
104,0.614,0.719,0.492,0.296,0.629,0.524,0.836,0.655,0.796,0.742
105,0.609,0.713,0.475,0.316,0.628,0.542,0.839,0.652,0.789,0.75
106,0.606,0.72,0.495,0.303,0.606,0.543,0.857,0.646,0.796,0.731
107,0.605,0.711,0.468,0.287,0.637,0.51,0.866,0.635,0.799,0.744
108,0.568,0.697,0.477,0.31,0.631,0.558,0.849,0.651,0.788,0.745
109,0.579,0.712,0.474,0.321,0.64,0.554,0.838,0.669,0.804,0.724
110,0.578,0.71,0.494,0.308,0.629,0.516,0.857,0.645,0.81,0.733
111,0.579,0.714,0.495,0.29,0.624,0.512,0.874,0.637,0.786,0.726
112,0.587,0.707,0.491,0.323,0.648,0.543,0.835,0.648,0.805,0.743
113,0.608,0.713,0.488,0.314,0.638,0.546,0.851,0.641,0.809,0.739
114,0.614,0.695,0.5,0.323,0.62,0.542,0.842,0.658,0.798,0.744
115,0.616,0.718,0.489,0.323,0.625,0.591,0.84,0.664,0.81,0.744
116,0.592,0.705,0.469,0.307,0.646,0.556,0.853,0.658,0.787,0.732
117,0.602,0.714,0.493,0.327,0.634,0.557,0.852,0.664,0.794,0.747
118,0.613,0.721,0.479,0.317,0.643,0.557,0.851,0.654,0.81,0.753
119,0.614,0.741,0.493,0.313,0.631,0.562,0.862,0.659,0.787,0.74
120,0.604,0.685,0.477,0.317,0.638,0.559,0.865,0.656,0.789,0.742
121,0.618,0.722,0.504,0.333,0.633,0.574,0.85,0.646,0.819,0.744
122,0.587,0.72,0.493,0.31,0.638,0.552,0.87,0.646,0.789,0.75
123,0.603,0.72,0.518,0.327,0.655,0.518,0.856,0.65,0.817,0.748
124,0.621,0.724,0.486,0.324,0.652,0.566,0.852,0.655,0.815,0.756
125,0.613,0.753,0.502,0.335,0.644,0.56,0.857,0.642,0.816,0.753
126,0.608,0.737,0.525,0.308,0.633,0.519,0.871,0.634,0.835,0.736
127,0.622,0.727,0.489,0.319,0.635,0.545,0.868,0.643,0.814,0.755
128,0.619,0.724,0.492,0.342,0.65,0.59,0.834,0.676,0.799,0.765
129,0.619,0.734,0.514,0.318,0.659,0.537,0.849,0.643,0.831,0.745
130,0.599,0.743,0.51,0.322,0.637,0.563,0.866,0.631,0.819,0.746
131,0.614,0.737,0.512,0.333,0.647,0.528,0.853,0.637,0.827,0.75
132,0.612,0.735,0.485,0.323,0.647,0.565,0.871,0.65,0.815,0.759
133,0.621,0.72,0.53,0.342,0.621,0.558,0.852,0.638,0.834,0.76
