Round,Subset 1,Subset 2,Subset 3,Subset 4,Subset 5,Subset 6,Subset 7,Subset 8,Subset 9,Subset 10
61,0.5720,0.5232,0.6186,0.5799,0.5775,0.8820,0.8965,0.8665,0.8495,0.8759
62,0.5553,0.5710,0.6010,0.5681,0.6105,0.8874,0.8826,0.8626,0.8635,0.8767
63,0.5528,0.5138,0.5887,0.5670,0.5801,0.8794,0.8881,0.8643,0.8403,0.8775
64,0.5699,0.5314,0.5888,0.5851,0.5748,0.8719,0.8899,0.8434,0.8654,0.8698
65,0.5648,0.5095,0.6045,0.5541,0.5740,0.8851,0.9233,0.8606,0.8553,0.8498
66,0.5357,0.4925,0.5678,0.5663,0.5618,0.8685,0.8934,0.8521,0.8434,0.8782
67,0.5611,0.5349,0.5784,0.5826,0.5531,0.8581,0.8860,0.8407,0.8418,0.8597
68,0.5364,0.5001,0.5684,0.5612,0.5617,0.8673,0.9047,0.8380,0.8525,0.8650
69,0.5303,0.5149,0.5914,0.5591,0.6002,0.8666,0.8784,0.8418,0.8827,0.8515
70,0.5367,0.5036,0.5904,0.5372,0.5560,0.8902,0.8836,0.8569,0.8458,0.8738
71,0.5387,0.4941,0.5421,0.5587,0.5340,0.8727,0.8950,0.8575,0.8522,0.8649
72,0.5315,0.4986,0.5545,0.5499,0.5542,0.8562,0.8867,0.8568,0.8524,0.8566
73,0.5328,0.5121,0.5451,0.5395,0.5600,0.8741,0.8818,0.8303,0.8618,0.8480
74,0.5531,0.4922,0.5778,0.5435,0.5425,0.8718,0.8768,0.8347,0.8538,0.8669
75,0.5325,0.5073,0.5642,0.5699,0.5506,0.8447,0.8729,0.8591,0.8625,0.8631
76,0.4955,0.4640,0.5519,0.5267,0.5291,0.8533,0.8677,0.8119,0.8495,0.8563
77,0.4900,0.5230,0.5634,0.5421,0.5429,0.8530,0.8638,0.8380,0.8273,0.8544
78,0.4782,0.4834,0.5545,0.5280,0.5333,0.8517,0.8850,0.8431,0.8489,0.8497
79,0.4991,0.4985,0.5456,0.5240,0.5431,0.8605,0.8833,0.8268,0.8471,0.8427
80,0.4653,0.4551,0.5240,0.5252,0.5337,0.8741,0.8837,0.8490,0.8346,0.8579
81,0.4854,0.4630,0.5351,0.5322,0.5205,0.8585,0.8610,0.8266,0.8489,0.8578
82,0.5142,0.5006,0.5321,0.5217,0.5101,0.8393,0.8765,0.8390,0.8293,0.8656
83,0.4886,0.5006,0.5284,0.5100,0.5429,0.8638,0.8681,0.8326,0.8375,0.8529
84,0.4927,0.4278,0.5283,0.5128,0.5160,0.8607,0.8648,0.8295,0.8423,0.8595
85,0.4595,0.4475,0.5240,0.5132,0.5055,0.8596,0.8607,0.8149,0.8328,0.8341
86,0.5120,0.4691,0.5228,0.5440,0.5026,0.8528,0.8650,0.8405,0.8349,0.8534
