Round,Class 0,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9
1,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,0.461,0.0,0.0,0.0,0.0,0.007,0.0,0.001,0.0,0.946
3,0.315,0.001,0.0,0.0,0.0,0.037,0.0,0.007,0.0,0.993
4,0.335,0.0,0.0,0.001,0.0,0.093,0.0,0.022,0.005,0.994
5,0.35,0.0,0.001,0.005,0.009,0.091,0.0,0.025,0.085,0.99
6,0.391,0.0,0.014,0.017,0.214,0.184,0.011,0.046,0.062,0.988
7,0.376,0.0,0.003,0.014,0.165,0.155,0.061,0.094,0.107,0.989
8,0.337,0.0,0.063,0.03,0.377,0.238,0.238,0.266,0.071,0.984
9,0.316,0.0,0.053,0.063,0.277,0.339,0.303,0.305,0.073,0.985
10,0.337,0.0,0.126,0.099,0.282,0.297,0.358,0.222,0.257,0.974
11,0.274,0.0,0.165,0.055,0.256,0.246,0.414,0.301,0.102,0.991
12,0.369,0.0,0.266,0.101,0.268,0.221,0.337,0.26,0.281,0.975
13,0.281,0.007,0.191,0.155,0.262,0.209,0.337,0.323,0.239,0.986
14,0.356,0.002,0.284,0.107,0.346,0.283,0.351,0.355,0.228,0.975
15,0.281,0.0,0.11,0.103,0.525,0.197,0.469,0.34,0.149,0.972
16,0.399,0.001,0.198,0.164,0.387,0.264,0.346,0.288,0.296,0.969
17,0.299,0.006,0.212,0.163,0.284,0.259,0.356,0.211,0.432,0.977
18,0.335,0.017,0.157,0.228,0.316,0.264,0.531,0.343,0.35,0.964
19,0.364,0.001,0.096,0.123,0.417,0.37,0.592,0.33,0.271,0.959
20,0.357,0.013,0.09,0.18,0.258,0.356,0.458,0.353,0.311,0.977
21,0.411,0.033,0.165,0.191,0.253,0.356,0.525,0.499,0.418,0.946
22,0.442,0.025,0.164,0.213,0.295,0.319,0.574,0.482,0.43,0.939
23,0.411,0.078,0.258,0.245,0.218,0.336,0.43,0.48,0.408,0.954
24,0.354,0.073,0.219,0.205,0.355,0.291,0.567,0.363,0.379,0.954
25,0.331,0.039,0.169,0.201,0.376,0.268,0.53,0.419,0.432,0.965
26,0.372,0.019,0.29,0.269,0.365,0.324,0.495,0.436,0.424,0.938
27,0.351,0.131,0.093,0.144,0.5,0.249,0.487,0.428,0.424,0.949
28,0.375,0.137,0.238,0.22,0.421,0.198,0.526,0.428,0.456,0.934
29,0.369,0.104,0.284,0.155,0.474,0.242,0.353,0.484,0.458,0.942
30,0.403,0.134,0.207,0.251,0.46,0.309,0.342,0.51,0.539,0.913
31,0.395,0.161,0.306,0.179,0.421,0.278,0.498,0.472,0.579,0.905
32,0.343,0.215,0.175,0.143,0.399,0.365,0.597,0.467,0.296,0.923
33,0.44,0.162,0.237,0.224,0.38,0.251,0.454,0.498,0.427,0.934
34,0.353,0.14,0.189,0.285,0.324,0.328,0.609,0.51,0.419,0.917
35,0.389,0.151,0.232,0.245,0.383,0.303,0.534,0.508,0.475,0.935
36,0.397,0.099,0.196,0.206,0.326,0.298,0.536,0.494,0.338,0.958
37,0.41,0.068,0.248,0.168,0.419,0.335,0.508,0.48,0.275,0.954
38,0.349,0.097,0.15,0.272,0.405,0.311,0.555,0.47,0.327,0.962
39,0.438,0.181,0.201,0.331,0.308,0.328,0.401,0.483,0.47,0.929
40,0.368,0.219,0.251,0.271,0.367,0.285,0.634,0.462,0.349,0.909
41,0.438,0.12,0.251,0.26,0.375,0.324,0.477,0.447,0.382,0.937
42,0.396,0.136,0.23,0.211,0.393,0.303,0.574,0.414,0.44,0.93
43,0.405,0.153,0.305,0.213,0.329,0.219,0.453,0.425,0.463,0.941
44,0.417,0.173,0.239,0.204,0.298,0.36,0.483,0.409,0.439,0.932
45,0.391,0.081,0.205,0.191,0.417,0.327,0.405,0.456,0.417,0.952
46,0.39,0.16,0.219,0.256,0.346,0.381,0.558,0.528,0.357,0.931
47,0.331,0.106,0.212,0.259,0.314,0.36,0.469,0.438,0.35,0.964
48,0.436,0.074,0.3,0.232,0.365,0.299,0.288,0.476,0.381,0.955
49,0.43,0.073,0.204,0.186,0.361,0.39,0.486,0.505,0.304,0.949
50,0.422,0.148,0.298,0.204,0.308,0.374,0.41,0.437,0.305,0.943
51,0.294,0.104,0.251,0.156,0.382,0.385,0.441,0.469,0.249,0.961
52,0.333,0.123,0.269,0.206,0.367,0.335,0.457,0.394,0.362,0.954
53,0.369,0.101,0.258,0.221,0.33,0.355,0.307,0.487,0.274,0.963
54,0.383,0.122,0.213,0.191,0.334,0.259,0.424,0.401,0.367,0.966
55,0.363,0.116,0.204,0.257,0.295,0.273,0.304,0.464,0.381,0.971
56,0.361,0.062,0.196,0.188,0.489,0.232,0.364,0.455,0.288,0.971
57,0.34,0.085,0.216,0.155,0.482,0.316,0.622,0.435,0.273,0.937
58,0.313,0.127,0.255,0.182,0.417,0.31,0.501,0.4,0.306,0.966
59,0.38,0.103,0.184,0.252,0.36,0.367,0.448,0.439,0.355,0.953
60,0.374,0.156,0.171,0.243,0.364,0.296,0.472,0.472,0.347,0.961
61,0.411,0.099,0.191,0.187,0.375,0.274,0.458,0.391,0.271,0.971
62,0.314,0.166,0.177,0.229,0.366,0.348,0.47,0.457,0.411,0.949
63,0.38,0.074,0.207,0.236,0.331,0.326,0.556,0.425,0.358,0.958
