Round,Class 0,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,0.162,0.0,0.0,0.0,0.008,0.087,0.006,0.001,0.0,1.0
3,0.043,0.0,0.001,0.026,0.053,0.014,0.015,0.016,0.023,1.0
4,0.287,0.0,0.022,0.044,0.112,0.141,0.048,0.064,0.032,1.0
5,0.219,0.0,0.08,0.017,0.375,0.096,0.043,0.048,0.025,0.999
6,0.229,0.0,0.12,0.007,0.054,0.202,0.13,0.088,0.054,1.0
7,0.313,0.0,0.188,0.124,0.168,0.086,0.149,0.111,0.129,0.997
8,0.39,0.0,0.182,0.064,0.418,0.198,0.297,0.173,0.146,0.983
9,0.368,0.003,0.157,0.227,0.317,0.12,0.046,0.166,0.048,0.994
10,0.351,0.005,0.238,0.135,0.13,0.336,0.369,0.313,0.212,0.983
11,0.285,0.016,0.331,0.181,0.183,0.208,0.49,0.118,0.281,0.976
12,0.286,0.0,0.133,0.195,0.398,0.349,0.223,0.166,0.31,0.982
13,0.353,0.013,0.364,0.142,0.132,0.247,0.3,0.359,0.32,0.98
14,0.34,0.034,0.333,0.256,0.417,0.145,0.428,0.413,0.153,0.947
15,0.383,0.052,0.258,0.166,0.327,0.212,0.431,0.321,0.291,0.961
16,0.322,0.057,0.332,0.244,0.323,0.173,0.384,0.259,0.285,0.97
17,0.38,0.034,0.169,0.107,0.351,0.303,0.411,0.357,0.241,0.967
18,0.347,0.011,0.19,0.145,0.344,0.152,0.444,0.259,0.263,0.98
19,0.282,0.022,0.216,0.156,0.251,0.195,0.444,0.347,0.179,0.985
20,0.213,0.017,0.247,0.103,0.365,0.189,0.175,0.193,0.284,0.988
21,0.197,0.002,0.204,0.113,0.28,0.211,0.266,0.152,0.135,0.998
22,0.35,0.066,0.292,0.154,0.246,0.173,0.397,0.178,0.338,0.974
23,0.337,0.046,0.253,0.077,0.332,0.191,0.249,0.204,0.228,0.987
24,0.262,0.04,0.262,0.207,0.281,0.242,0.229,0.193,0.283,0.985
25,0.282,0.063,0.225,0.105,0.424,0.191,0.347,0.216,0.309,0.979
26,0.22,0.045,0.216,0.213,0.301,0.29,0.259,0.227,0.268,0.986
27,0.28,0.078,0.296,0.124,0.247,0.143,0.47,0.273,0.163,0.987
28,0.289,0.021,0.145,0.152,0.339,0.221,0.363,0.212,0.252,0.991
29,0.35,0.083,0.293,0.194,0.367,0.246,0.399,0.114,0.289,0.971
30,0.305,0.013,0.389,0.115,0.305,0.255,0.419,0.312,0.124,0.969
31,0.311,0.043,0.258,0.197,0.372,0.254,0.423,0.407,0.315,0.965
32,0.399,0.104,0.218,0.226,0.289,0.225,0.458,0.243,0.358,0.957
33,0.34,0.007,0.161,0.22,0.32,0.088,0.209,0.148,0.194,0.997
34,0.321,0.064,0.11,0.27,0.33,0.235,0.4,0.342,0.206,0.978
35,0.296,0.025,0.139,0.093,0.333,0.207,0.142,0.104,0.321,0.991
36,0.247,0.011,0.326,0.143,0.253,0.237,0.35,0.068,0.314,0.989
37,0.314,0.02,0.299,0.221,0.34,0.209,0.311,0.155,0.338,0.988
38,0.351,0.019,0.214,0.224,0.265,0.143,0.424,0.294,0.208,0.983
39,0.29,0.032,0.312,0.256,0.214,0.136,0.274,0.277,0.214,0.989
40,0.308,0.023,0.353,0.164,0.191,0.225,0.262,0.171,0.339,0.98
41,0.225,0.011,0.205,0.169,0.198,0.238,0.276,0.296,0.259,0.988
42,0.211,0.016,0.207,0.15,0.328,0.2,0.075,0.176,0.275,0.988
43,0.335,0.073,0.269,0.239,0.332,0.288,0.49,0.278,0.257,0.968
44,0.347,0.077,0.304,0.131,0.37,0.221,0.356,0.401,0.345,0.951
45,0.445,0.119,0.128,0.225,0.253,0.214,0.227,0.262,0.374,0.97
46,0.326,0.038,0.225,0.145,0.22,0.188,0.375,0.172,0.219,0.99
47,0.331,0.046,0.194,0.237,0.207,0.216,0.316,0.212,0.254,0.987
48,0.307,0.054,0.167,0.118,0.353,0.237,0.412,0.284,0.336,0.979
49,0.317,0.026,0.228,0.325,0.423,0.15,0.254,0.348,0.327,0.965
50,0.287,0.031,0.372,0.148,0.307,0.322,0.448,0.296,0.175,0.972
51,0.297,0.09,0.348,0.118,0.374,0.232,0.339,0.413,0.25,0.958
52,0.388,0.041,0.164,0.143,0.183,0.201,0.378,0.258,0.271,0.99
53,0.262,0.212,0.215,0.217,0.268,0.244,0.259,0.329,0.356,0.945
54,0.29,0.037,0.218,0.098,0.247,0.187,0.284,0.215,0.258,0.993
55,0.315,0.022,0.139,0.129,0.272,0.122,0.167,0.188,0.202,0.994
56,0.408,0.086,0.305,0.231,0.19,0.295,0.399,0.341,0.245,0.959
57,0.341,0.038,0.333,0.155,0.165,0.228,0.427,0.273,0.397,0.973
58,0.41,0.116,0.088,0.17,0.269,0.203,0.208,0.221,0.204,0.982
59,0.302,0.025,0.276,0.174,0.241,0.231,0.37,0.311,0.465,0.978
60,0.275,0.046,0.141,0.134,0.142,0.22,0.111,0.072,0.276,0.995
61,0.292,0.022,0.229,0.124,0.348,0.213,0.35,0.143,0.192,0.987
62,0.281,0.007,0.192,0.126,0.412,0.197,0.234,0.183,0.177,0.991
63,0.342,0.029,0.148,0.164,0.299,0.194,0.281,0.204,0.283,0.996
64,0.381,0.008,0.181,0.093,0.257,0.148,0.438,0.216,0.407,0.982
65,0.342,0.005,0.221,0.159,0.282,0.382,0.245,0.246,0.248,0.982
