Round,Subset,0,1,2,3,4,5,6,7,8,9
7,6,0.064,0.029,0.0,0.0,0.0,0.999,0.0,0.0,0.292,0.13
7,7,0.158,0.024,0.0,0.0,0.0,0.0,0.998,0.0,0.194,0.04
7,8,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.999,0.156,0.0
7,9,0.0,0.0,0.001,0.01,0.0,0.0,0.252,0.009,0.998,0.0
7,10,0.308,0.0,0.186,0.124,0.166,0.084,0.143,0.112,0.133,0.997
7,Aggregated,0.313,0.0,0.188,0.124,0.168,0.086,0.149,0.111,0.129,0.997
8,1,0.998,0.002,0.0,0.055,0.023,0.0,0.109,0.022,0.0,0.001
8,2,0.005,0.998,0.082,0.0,0.199,0.006,0.063,0.065,0.0,0.0
8,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.013,0.001
8,4,0.02,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.222,0.025
8,5,0.0,0.249,0.0,0.0,0.994,0.0,0.0,0.0,0.219,0.049
8,6,0.113,0.012,0.0,0.0,0.0,0.999,0.0,0.0,0.252,0.062
8,7,0.396,0.035,0.0,0.0,0.0,0.0,0.997,0.002,0.447,0.047
8,8,0.002,0.026,0.0,0.0,0.0,0.0,0.0,0.999,0.262,0.0
8,9,0.0,0.0,0.0,0.005,0.065,0.018,0.136,0.007,0.999,0.0
8,10,0.388,0.0,0.18,0.063,0.423,0.194,0.289,0.174,0.151,0.984
8,Aggregated,0.39,0.0,0.182,0.064,0.418,0.198,0.297,0.173,0.146,0.983
9,1,1.0,0.0,0.0,0.003,0.002,0.021,0.056,0.0,0.0,0.001
9,2,0.024,0.995,0.044,0.016,0.358,0.001,0.146,0.062,0.0,0.0
9,3,0.002,0.044,1.0,0.0,0.0,0.0,0.0,0.0,0.06,0.036
9,4,0.172,0.01,0.0,0.999,0.0,0.0,0.0,0.0,0.172,0.109
9,5,0.001,0.06,0.0,0.0,0.995,0.0,0.0,0.0,0.165,0.217
9,6,0.118,0.067,0.0,0.0,0.0,0.999,0.0,0.0,0.244,0.115
9,7,0.236,0.03,0.0,0.0,0.0,0.0,0.998,0.0,0.374,0.128
9,8,0.0,0.004,0.0,0.0,0.0,0.0,0.0,1.0,0.101,0.001
9,9,0.0,0.0,0.041,0.047,0.1,0.005,0.217,0.067,0.998,0.0
9,10,0.365,0.003,0.158,0.229,0.315,0.116,0.047,0.161,0.049,0.994
9,Aggregated,0.368,0.003,0.157,0.227,0.317,0.12,0.046,0.166,0.048,0.994
10,1,0.999,0.002,0.0,0.003,0.0,0.005,0.133,0.011,0.0,0.002
10,2,0.06,0.998,0.148,0.022,0.194,0.083,0.094,0.115,0.005,0.0
10,3,0.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.051,0.018
10,4,0.1,0.009,0.0,0.999,0.0,0.0,0.0,0.0,0.156,0.069
10,5,0.0,0.256,0.0,0.0,0.996,0.0,0.0,0.0,0.219,0.145
